# This pad file is for the HPK PSs sensor for the 6inch runs, contact in the middle

Campaign: Hamamatsu 6inch 2S					
Creator: Dominic Bloech 03.12.2018
				
reference pad: 1			
reference pad: 959					
reference pad: 962

second_side_start: 961

strip	x	y	z
1	0	0	0
2	0	-100	0
3	0	-200	0
4	0	-300	0
5	0	-400	0
6	0	-500	0
7	0	-600	0
8	0	-700	0
9	0	-800	0
10	0	-900	0
11	0	-1000	0
12	0	-1100	0
13	0	-1200	0
14	0	-1300	0
15	0	-1400	0
16	0	-1500	0
17	0	-1600	0
18	0	-1700	0
19	0	-1800	0
20	0	-1900	0
21	0	-2000	0
22	0	-2100	0
23	0	-2200	0
24	0	-2300	0
25	0	-2400	0
26	0	-2500	0
27	0	-2600	0
28	0	-2700	0
29	0	-2800	0
30	0	-2900	0
31	0	-3000	0
32	0	-3100	0
33	0	-3200	0
34	0	-3300	0
35	0	-3400	0
36	0	-3500	0
37	0	-3600	0
38	0	-3700	0
39	0	-3800	0
40	0	-3900	0
41	0	-4000	0
42	0	-4100	0
43	0	-4200	0
44	0	-4300	0
45	0	-4400	0
46	0	-4500	0
47	0	-4600	0
48	0	-4700	0
49	0	-4800	0
50	0	-4900	0
51	0	-5000	0
52	0	-5100	0
53	0	-5200	0
54	0	-5300	0
55	0	-5400	0
56	0	-5500	0
57	0	-5600	0
58	0	-5700	0
59	0	-5800	0
60	0	-5900	0
61	0	-6000	0
62	0	-6100	0
63	0	-6200	0
64	0	-6300	0
65	0	-6400	0
66	0	-6500	0
67	0	-6600	0
68	0	-6700	0
69	0	-6800	0
70	0	-6900	0
71	0	-7000	0
72	0	-7100	0
73	0	-7200	0
74	0	-7300	0
75	0	-7400	0
76	0	-7500	0
77	0	-7600	0
78	0	-7700	0
79	0	-7800	0
80	0	-7900	0
81	0	-8000	0
82	0	-8100	0
83	0	-8200	0
84	0	-8300	0
85	0	-8400	0
86	0	-8500	0
87	0	-8600	0
88	0	-8700	0
89	0	-8800	0
90	0	-8900	0
91	0	-9000	0
92	0	-9100	0
93	0	-9200	0
94	0	-9300	0
95	0	-9400	0
96	0	-9500	0
97	0	-9600	0
98	0	-9700	0
99	0	-9800	0
100	0	-9900	0
101	0	-10000	0
102	0	-10100	0
103	0	-10200	0
104	0	-10300	0
105	0	-10400	0
106	0	-10500	0
107	0	-10600	0
