# This pad file is for the IFX irradiation sensor for the 8-inch runs

Campaign: Infineon 8-inch irradiation					
Creator: Dominic Bloech 11.1.2018
				
reference pad: 1			
reference pad: 128					
reference pad: 64			

strip	x	y	z
1	0	0	0
2	90	0	0
3	180	0	0
4	270	0	0
5	360	0	0
6	450	0	0
7	540	0	0
8	630	0	0
9	720	0	0
10	810	0	0
11	900	0	0
12	990	0	0
13	1080	0	0
14	1170	0	0
15	1260	0	0
16	1350	0	0
17	1440	0	0
18	1530	0	0
19	1620	0	0
20	1710	0	0
21	1800	0	0
22	1890	0	0
23	1980	0	0
24	2070	0	0
25	2160	0	0
26	2250	0	0
27	2340	0	0
28	2430	0	0
29	2520	0	0
30	2610	0	0
31	2700	0	0
32	2790	0	0
33	2880	0	0
34	2970	0	0
35	3060	0	0
36	3150	0	0
37	3240	0	0
38	3330	0	0
39	3420	0	0
40	3510	0	0
41	3600	0	0
42	3690	0	0
43	3780	0	0
44	3870	0	0
45	3960	0	0
46	4050	0	0
47	4140	0	0
48	4230	0	0
49	4320	0	0
50	4410	0	0
51	4500	0	0
52	4590	0	0
53	4680	0	0
54	4770	0	0
55	4860	0	0
56	4950	0	0
57	5040	0	0
58	5130	0	0
59	5220	0	0
60	5310	0	0
61	5400	0	0
62	5490	0	0
63	5580	0	0
64	5670	0	0
65	5760	0	0
66	5850	0	0
67	5940	0	0
68	6030	0	0
69	6120	0	0
70	6210	0	0
71	6300	0	0
72	6390	0	0
73	6480	0	0
74	6570	0	0
75	6660	0	0
76	6750	0	0
77	6840	0	0
78	6930	0	0
79	7020	0	0
80	7110	0	0
81	7200	0	0
82	7290	0	0
83	7380	0	0
84	7470	0	0
85	7560	0	0
86	7650	0	0
87	7740	0	0
88	7830	0	0
89	7920	0	0
90	8010	0	0
91	8100	0	0
92	8190	0	0
93	8280	0	0
94	8370	0	0
95	8460	0	0
96	8550	0	0
97	8640	0	0
98	8730	0	0
99	8820	0	0
100	8910	0	0
101	9000	0	0
102	9090	0	0
103	9180	0	0
104	9270	0	0
105	9360	0	0
106	9450	0	0
107	9540	0	0
108	9630	0	0
109	9720	0	0
110	9810	0	0
111	9900	0	0
112	9990	0	0
113	10080	0	0
114	10170	0	0
115	10260	0	0
116	10350	0	0
117	10440	0	0
118	10530	0	0
119	10620	0	0
120	10710	0	0
121	10800	0	0
122	10890	0	0
123	10980	0	0
124	11070	0	0
125	11160	0	0
126	11250	0	0
127	11340	0	0
128	11340	0	0
129	19520	-11250  0
