# This pad file is for the IFX 2SBaby sensor for the 8-inch runs

Campaign: Infineon 8-inch SensorBaby					
Creator: Dominic Bloech 21.12.2017
				
reference pad: 1			
reference pad: 254 					
reference pad: 127			

pad strip	x	y	z
1	1	0	0	0	
2	2	90	0	0	 
3	3	180	0	0	 
4	4	270	0	0	 
5	5	360	0	0	 
6	6	450	0	0	 
7	7	540	0	0	 
8	8	630	0	0	 
9	9	720	0	0	 
10	10	810	0	0	 
11	11	900	0	0	 
12	12	990	0	0	 
13	13	1080	0	0	 
14	14	1170	0	0	 
15	15	1260	0	0	 
16	16	1350	0	0	 
17	17	1440	0	0	 
18	18	1530	0	0	 
19	19	1620	0	0	 
20	20	1710	0	0	 
21	21	1800	0	0	 
22	22	1890	0	0	 
23	23	1980	0	0	 
24	24	2070	0	0	 
25	25	2160	0	0	 
26	26	2250	0	0	 
27	27	2340	0	0	 
28	28	2430	0	0	 
29	29	2520	0	0	 
30	30	2610	0	0	 
31	31	2700	0	0	 
32	32	2790	0	0	 
33	33	2880	0	0	 
34	34	2970	0	0	 
35	35	3060	0	0	 
36	36	3150	0	0	 
37	37	3240	0	0	 
38	38	3330	0	0	 
39	39	3420	0	0	 
40	40	3510	0	0	 
41	41	3600	0	0	 
42	42	3690	0	0	 
43	43	3780	0	0	 
44	44	3870	0	0	 
45	45	3960	0	0	 
46	46	4050	0	0	 
47	47	4140	0	0	 
48	48	4230	0	0	 
49	49	4320	0	0	 
50	50	4410	0	0	 
51	51	4500	0	0	 
52	52	4590	0	0	 
53	53	4680	0	0	 
54	54	4770	0	0	 
55	55	4860	0	0	 
56	56	4950	0	0	 
57	57	5040	0	0	 
58	58	5130	0	0	 
59	59	5220	0	0	 
60	60	5310	0	0	 
61	61	5400	0	0	 
62	62	5490	0	0	 
63	63	5580	0	0	 
64	64	5670	0	0	 
65	65	5760	0	0	 
66	66	5850	0	0	 
67	67	5940	0	0	 
68	68	6030	0	0	 
69	69	6120	0	0	 
70	70	6210	0	0	 
71	71	6300	0	0	 
72	72	6390	0	0	 
73	73	6480	0	0	 
74	74	6570	0	0	 
75	75	6660	0	0	 
76	76	6750	0	0	 
77	77	6840	0	0	 
78	78	6930	0	0	 
79	79	7020	0	0	 
80	80	7110	0	0	 
81	81	7200	0	0	 
82	82	7290	0	0	 
83	83	7380	0	0	 
84	84	7470	0	0	 
85	85	7560	0	0	 
86	86	7650	0	0	 
87	87	7740	0	0	 
88	88	7830	0	0	 
89	89	7920	0	0	 
90	90	8010	0	0	 
