!# This pad file is for the IFX 2S sensor for the 8-inch runs

Campaign: Infineon 8-inch 2S					
Creator: Dominic Bloech 11.1.2018
second_side_start: 128
				
reference pad: 1			
reference pad: 127				
reference pad: 128			

strip	x	y	z
1	0	0	0
2	0	-90	0
3	0	-180	0
4	0	-270	0
5	0	-360	0
6	0	-450	0
7	0	-540	0
8	0	-630	0
9	0	-720	0
10	0	-810	0
11	0	-900	0
12	0	-990	0
13	0	-1080	0
14	0	-1170	0
15	0	-1260	0
16	0	-1350	0
17	0	-1440	0
18	0	-1530	0
19	0	-1620	0
20	0	-1710	0
21	0	-1800	0
22	0	-1890	0
23	0	-1980	0
24	0	-2070	0
25	0	-2160	0
26	0	-2250	0
27	0	-2340	0
28	0	-2430	0
29	0	-2520	0
30	0	-2610	0
31	0	-2700	0
32	0	-2790	0
33	0	-2880	0
34	0	-2970	0
35	0	-3060	0
36	0	-3150	0
37	0	-3240	0
38	0	-3330	0
39	0	-3420	0
40	0	-3510	0
41	0	-3600	0
42	0	-3690	0
43	0	-3780	0
44	0	-3870	0
45	0	-3960	0
46	0	-4050	0
47	0	-4140	0
48	0	-4230	0
49	0	-4320	0
50	0	-4410	0
51	0	-4500	0
52	0	-4590	0
53	0	-4680	0
54	0	-4770	0
55	0	-4860	0
56	0	-4950	0
57	0	-5040	0
58	0	-5130	0
59	0	-5220	0
60	0	-5310	0
61	0	-5400	0
62	0	-5490	0
63	0	-5580	0
64	0	-5670	0
65	0	-5760	0
66	0	-5850	0
67	0	-5940	0
68	0	-6030	0
69	0	-6120	0
70	0	-6210	0
71	0	-6300	0
72	0	-6390	0
73	0	-6480	0
74	0	-6570	0
75	0	-6660	0
76	0	-6750	0
77	0	-6840	0
78	0	-6930	0
79	0	-7020	0
80	0	-7110	0
81	0	-7200	0
82	0	-7290	0
83	0	-7380	0
84	0	-7470	0
85	0	-7560	0
86	0	-7650	0
87	0	-7740	0
88	0	-7830	0
89	0	-7920	0
90	0	-8010	0
91	0	-8100	0
92	0	-8190	0
93	0	-8280	0
94	0	-8370	0
95	0	-8460	0
96	0	-8550	0
97	0	-8640	0
98	0	-8730	0
99	0	-8820	0
100	0	-8910	0
101	0	-9000	0
102	0	-9090	0
103	0	-9180	0
104	0	-9270	0
105	0	-9360	0
106	0	-9450	0
107	0	-9540	0
108	0	-9630	0
109	0	-9720	0
110	0	-9810	0
111	0	-9900	0
112	0	-9990	0
113	0	-10080	0
114	0	-10170	0
115	0	-10260	0
116	0	-10350	0
117	0	-10440	0
118	0	-10530	0
119	0	-10620	0
120	0	-10710	0
121	0	-10800	0
122	0	-10890	0
123	0	-10980	0
124	0	-11070	0
125	0	-11160	0
126	0	-11250	0
127	0	-11340	0
128	11871	-11340	0
129	11871	-11250	0
130	11871	-11160	0
131	11871	-11070	0
132	11871	-10980	0
133	11871	-10890	0
134	11871	-10800	0
135	11871	-10710	0
136	11871	-10620	0
137	11871	-10530	0
138	11871	-10440	0
139	11871	-10350	0
140	11871	-10260	0
141	11871	-10170	0
142	11871	-10080	0
143	11871	-9990	0
144	11871	-9900	0
145	11871	-9810	0
146	11871	-9720	0
147	11871	-9630	0
148	11871	-9540	0
149	11871	-9450	0
150	11871	-9360	0
151	11871	-9270	0
152	11871	-9180	0
153	11871	-9090	0
154	11871	-9000	0
155	11871	-8910	0
156	11871	-8820	0
157	11871	-8730	0
158	11871	-8640	0
159	11871	-8550	0
160	11871	-8460	0
161	11871	-8370	0
162	11871	-8280	0
163	11871	-8190	0
164	11871	-8100	0
165	11871	-8010	0
166	11871	-7920	0
167	11871	-7830	0
168	11871	-7740	0
169	11871	-7650	0
170	11871	-7560	0
171	11871	-7470	0
172	11871	-7380	0
173	11871	-7290	0
174	11871	-7200	0
175	11871	-7110	0
176	11871	-7020	0
177	11871	-6930	0
178	11871	-6840	0
179	11871	-6750	0
180	11871	-6660	0
181	11871	-6570	0
182	11871	-6480	0
183	11871	-6390	0
184	11871	-6300	0
185	11871	-6210	0
186	11871	-6120	0
187	11871	-6030	0
188	11871	-5940	0
189	11871	-5850	0
190	11871	-5760	0
191	11871	-5670	0
192	11871	-5580	0
193	11871	-5490	0
194	11871	-5400	0
195	11871	-5310	0
196	11871	-5220	0
197	11871	-5130	0
198	11871	-5040	0
199	11871	-4950	0
200	11871	-4860	0
201	11871	-4770	0
202	11871	-4680	0
203	11871	-4590	0
204	11871	-4500	0
205	11871	-4410	0
206	11871	-4320	0
207	11871	-4230	0
208	11871	-4140	0
209	11871	-4050	0
210	11871	-3960	0
211	11871	-3870	0
212	11871	-3780	0
213	11871	-3690	0
214	11871	-3600	0
215	11871	-3510	0
216	11871	-3420	0
217	11871	-3330	0
218	11871	-3240	0
219	11871	-3150	0
220	11871	-3060	0
221	11871	-2970	0
222	11871	-2880	0
223	11871	-2790	0
224	11871	-2700	0
225	11871	-2610	0
226	11871	-2520	0
227	11871	-2430	0
228	11871	-2340	0
229	11871	-2250	0
230	11871	-2160	0
231	11871	-2070	0
232	11871	-1980	0
233	11871	-1890	0
234	11871	-1800	0
235	11871	-1710	0
236	11871	-1620	0
237	11871	-1530	0
238	11871	-1440	0
239	11871	-1350	0
240	11871	-1260	0
241	11871	-1170	0
242	11871	-1080	0
243	11871	-990	0
244	11871	-900	0
245	11871	-810	0
246	11871	-720	0
247	11871	-630	0
248	11871	-540	0
249	11871	-450	0
250	11871	-360	0
251	11871	-270	0
252	11871	-180	0
253	11871	-90	0
254	11871	0	0
