# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_2S_04
 # Operator: Dominic
 # Date: Tue Feb 26 11:16:57 2019


voltage[V]              current[A]              voltage[V]              capacitance[F]          temperature[deg]        humidity[rel%]          
0.0108975               4.83477666667e-09       0.0                     6.57993333333e-08       21.3                    24.0                    
-4.98621666667          -7.18122666667e-08      -5.0                    2.77626666667e-08       21.3                    23.7                    
-9.98802333333          -9.29157666667e-08      -10.0                   1.83758e-08             21.3                    23.1                    
-14.9865666667          -1.09903e-07            -15.0                   1.46383666667e-08       21.3                    23.1                    
-19.9880666667          -1.23598666667e-07      -20.0                   1.24424666667e-08       21.3                    22.6                    
-24.9892                -1.35739e-07            -25.0                   1.10337666667e-08       21.3                    22.6                    
-29.9875                -1.45263333333e-07      -30.0                   1.00510666667e-08       21.3                    22.3                    
-34.9887666667          -1.51195e-07            -35.0                   9.31984333333e-09       21.2                    21.8                    
-39.9882                -1.55565e-07            -40.0                   8.74540333333e-09       21.2                    21.8                    
-44.9894333333          -1.58742333333e-07      -45.0                   8.27205666667e-09       21.2                    21.6                    
-49.9876333333          -1.61171e-07            -50.0                   7.87032666667e-09       21.2                    21.6                    
-54.9889                -1.62469666667e-07      -55.0                   7.52219e-09             21.2                    21.1                    
-59.9873333333          -1.63902333333e-07      -60.0                   7.20889666667e-09       21.3                    20.6                    
-64.9885333333          -1.65256666667e-07      -65.0                   6.91387e-09             21.3                    20.6                    
-69.9896                -1.66492666667e-07      -70.0                   6.65716333333e-09       21.3                    20.4                    
-74.9873                -1.67061333333e-07      -75.0                   6.42783333333e-09       21.3                    20.4                    
-79.9892333333          -1.67671666667e-07      -80.0                   6.23025333333e-09       21.2                    19.9                    
-84.9871666667          -1.68392333333e-07      -85.0                   6.05369666667e-09       21.2                    19.9                    
-89.9886                -1.69487666667e-07      -90.0                   5.89104666667e-09       21.2                    19.5                    
-94.9862666667          -1.70311333333e-07      -95.0                   5.74023666667e-09       21.2                    19.2                    
-99.9877666667          -1.70298e-07            -100.0                  5.6011e-09              21.2                    19.2                    
-104.989                -1.70640666667e-07      -105.0                  5.47078333333e-09       21.2                    18.9                    
-109.986666667          -1.71281666667e-07      -110.0                  5.34942333333e-09       21.2                    18.9                    
-114.988                -1.71689666667e-07      -115.0                  5.23596333333e-09       21.2                    18.7                    
-119.985666667          -1.71609e-07            -120.0                  5.12908666667e-09       21.2                    18.4                    
-124.987                -1.72525333333e-07      -125.0                  5.02818333333e-09       21.2                    18.4                    
-129.985                -1.72527e-07            -130.0                  4.93358e-09             21.2                    18.2                    
-134.986                -1.72896666667e-07      -135.0                  4.84319666667e-09       21.2                    18.2                    
-139.988                -1.73565666667e-07      -140.0                  4.75818e-09             21.2                    18.1                    
-144.986                -1.74454666667e-07      -145.0                  4.67777333333e-09       21.2                    18.1                    
-149.987                -1.73940666667e-07      -150.0                  4.60090666667e-09       21.2                    18.1                    
-154.984666667          -1.75162333333e-07      -155.0                  4.52723333333e-09       21.2                    18.2                    
-159.985666667          -1.75636e-07            -160.0                  4.45807666667e-09       21.2                    18.2                    
-164.984                -1.76041666667e-07      -165.0                  4.39113333333e-09       21.2                    18.2                    
-169.985                -1.76546e-07            -170.0                  4.32731e-09             21.2                    18.2                    
-174.985333333          -1.76210666667e-07      -175.0                  4.26601333333e-09       21.2                    18.4                    
-179.984                -1.76406333333e-07      -180.0                  4.20801666667e-09       21.2                    18.5                    
-184.985                -1.76861666667e-07      -185.0                  4.15162666667e-09       21.2                    18.5                    
-189.983                -1.77003e-07            -190.0                  4.09728e-09             21.2                    18.7                    
-194.984                -1.77369e-07            -195.0                  4.04497666667e-09       21.2                    18.7                    
-199.982                -1.77374666667e-07      -200.0                  3.99517e-09             21.2                    19.0                    
-204.972                -1.77706333333e-07      -205.0                  3.94782e-09             21.2                    19.1                    
-209.973                -1.78067333333e-07      -210.0                  3.90275e-09             21.2                    19.1                    
-214.973666667          -1.78178333333e-07      -215.0                  3.86377333333e-09       21.2                    19.2                    
-219.976                -1.78509333333e-07      -220.0                  3.83883666667e-09       21.2                    19.2                    
-224.976                -1.78876e-07            -225.0                  3.83021e-09             21.3                    19.3                    
-229.976                -1.79504666667e-07      -230.0                  3.83134333333e-09       21.3                    19.4                    
-234.969                -1.79615666667e-07      -235.0                  3.83096e-09             21.3                    19.4                    
-239.97                 -1.79596333333e-07      -240.0                  3.83017333333e-09       21.3                    19.5                    
-244.971                -1.79971333333e-07      -245.0                  3.82939333333e-09       21.3                    19.5                    
-249.973333333          -1.79489333333e-07      -250.0                  3.82898333333e-09       21.3                    19.5                    
-254.974                -1.80113e-07            -255.0                  3.82821666667e-09       21.3                    19.6                    
-259.974                -1.81474666667e-07      -260.0                  3.82813666667e-09       21.3                    19.6                    
-264.975                -1.81886e-07            -265.0                  3.82770666667e-09       21.3                    19.6                    
-269.968                -1.81640333333e-07      -270.0                  3.82637666667e-09       21.3                    19.6                    
