# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_2S_20
 # Operator: Dominic
 # Date: Tue Feb 26 09:50:37 2019


voltage[V]              current[A]              voltage[V]              capacitance[F]          temperature[deg]        humidity[rel%]          
0.0113081               4.4991e-09              0.0                     8.17553666667e-08       22.0                    23.8                    
-4.98587666667          -8.76163e-08            -5.0                    2.58928333333e-08       22.0                    23.5                    
-9.98767333333          -1.00885333333e-07      -10.0                   1.80825e-08             21.9                    22.9                    
-14.9860666667          -1.12676333333e-07      -15.0                   1.46645666667e-08       21.9                    22.9                    
-19.9874666667          -1.22157666667e-07      -20.0                   1.26146666667e-08       21.9                    22.3                    
-24.9891                -1.32157333333e-07      -25.0                   1.12177666667e-08       21.9                    22.3                    
-29.9872666667          -1.41524333333e-07      -30.0                   1.01833e-08             21.9                    22.0                    
-34.9884333333          -1.51597666667e-07      -35.0                   9.36495666667e-09       21.9                    21.5                    
-39.9876666667          -1.60919333333e-07      -40.0                   8.70398e-09             21.9                    21.5                    
-44.9894333333          -1.69732e-07            -45.0                   8.17549333333e-09       21.9                    21.0                    
-49.9878333333          -1.77238666667e-07      -50.0                   7.73427666667e-09       21.9                    21.0                    
-54.9888666667          -1.83437333333e-07      -55.0                   7.36113333333e-09       21.9                    20.8                    
-59.9872333333          -1.88869333333e-07      -60.0                   7.04226666667e-09       21.9                    20.8                    
-64.9885                -1.93048333333e-07      -65.0                   6.75977e-09             21.9                    20.3                    
-69.9903                -1.9688e-07             -70.0                   6.49321333333e-09       21.9                    20.1                    
-74.9879666667          -1.99708e-07            -75.0                   6.26252e-09             21.9                    20.1                    
-79.99                  -2.02032333333e-07      -80.0                   6.05679333333e-09       21.9                    19.7                    
-84.9879666667          -2.03949333333e-07      -85.0                   5.87576e-09             21.9                    19.7                    
-89.989                 -2.05174666667e-07      -90.0                   5.718e-09               21.9                    19.3                    
-94.9865666667          -2.07090333333e-07      -95.0                   5.57498333333e-09       21.9                    19.1                    
-99.9879                -2.08301666667e-07      -100.0                  5.44234666667e-09       21.9                    19.1                    
-104.989333333          -2.08902666667e-07      -105.0                  5.31888e-09             21.9                    18.7                    
-109.987                -2.1074e-07             -110.0                  5.20307333333e-09       21.9                    18.7                    
-114.988                -2.10971666667e-07      -115.0                  5.09418e-09             21.9                    18.6                    
-119.986                -2.11369e-07            -120.0                  4.99306e-09             21.9                    18.6                    
-124.987                -2.12244666667e-07      -125.0                  4.89737666667e-09       21.9                    18.3                    
-129.986                -2.12968666667e-07      -130.0                  4.80728666667e-09       21.9                    18.1                    
-134.987                -2.13692e-07            -135.0                  4.72122e-09             21.9                    18.1                    
-139.988                -2.14069666667e-07      -140.0                  4.64066e-09             21.9                    18.0                    
-144.986333333          -2.14648333333e-07      -145.0                  4.56370666667e-09       21.9                    18.0                    
-149.987                -2.15824666667e-07      -150.0                  4.49023e-09             21.9                    18.0                    
-154.985                -2.15720333333e-07      -155.0                  4.41996e-09             21.9                    18.0                    
-159.986                -2.16072666667e-07      -160.0                  4.35328333333e-09       21.9                    18.0                    
-164.985                -2.1666e-07             -165.0                  4.28982666667e-09       21.9                    18.0                    
-169.986                -2.17043e-07            -170.0                  4.22889666667e-09       21.9                    18.0                    
-174.986                -2.17981666667e-07      -175.0                  4.17008666667e-09       21.9                    18.0                    
-179.984                -2.18444333333e-07      -180.0                  4.11343666667e-09       21.9                    18.1                    
-184.985666667          -2.18768e-07            -185.0                  4.06016e-09             21.9                    18.1                    
-189.983                -2.18618e-07            -190.0                  4.00812333333e-09       21.9                    18.1                    
-194.984                -2.18801e-07            -195.0                  3.95876666667e-09       21.9                    18.1                    
-199.982                -2.18669e-07            -200.0                  3.91338666667e-09       21.9                    18.1                    
-204.973                -2.19809666667e-07      -205.0                  3.87397333333e-09       21.9                    18.2                    
-209.974                -2.20498666667e-07      -210.0                  3.84741333333e-09       21.9                    18.2                    
-214.973333333          -2.20411666667e-07      -215.0                  3.83548666667e-09       21.9                    18.2                    
-219.976                -2.20706333333e-07      -220.0                  3.83242333333e-09       21.9                    18.2                    
-224.977                -2.21623333333e-07      -225.0                  3.83433666667e-09       21.9                    18.3                    
-229.977                -2.21408333333e-07      -230.0                  3.83543333333e-09       21.9                    18.3                    
-234.97                 -2.21519333333e-07      -235.0                  3.83505333333e-09       21.9                    18.3                    
-239.971                -2.21303333333e-07      -240.0                  3.83425e-09             21.9                    18.4                    
