# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_14_2S_side1
 # Operator: Dominic
 # Date: Thu Mar 14 16:31:54 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


Pad                     Istrip                  Rpoly                   Idark                   Cac                     Cint                    Idiel                   Rint                    Temperature             Humidity                
padNumber[#]            current[A]              res[Ohm]                current[A]              cap[F]                  cap[F]                  current[A]              res[Ohm]                degree[C]               rel. percent[rel%]      
1.0                     --                      --                      --                      --                      --                      --                      --                      21.8                    21.6                    
2.0                     -2.51033133333e-10      1923553.86505           -2.3358e-07             1.45480666667e-10       2.08249e-12             -2.84276666667e-11      --                      21.8                    20.8                    
3.0                     -2.474059e-10           1917435.99563           -2.32444333333e-07      1.45476333333e-10       2.09724e-12             1.08387933333e-10       --                      21.8                    20.1                    
4.0                     -2.351522e-10           1920186.61953           -2.30384333333e-07      1.45495333333e-10       2.10754666667e-12       -2.11978666667e-12      --                      21.8                    19.1                    
5.0                     -2.290572e-10           1922416.24234           -2.29093666667e-07      1.45466e-10             2.10670333333e-12       8.50518466667e-11       1.8217245446e+11        21.8                    17.7                    
6.0                     -2.31750966667e-10      1918620.00926           -2.26877333333e-07      1.45499666667e-10       2.11802666667e-12       7.38013333333e-11       --                      21.8                    17.8                    
7.0                     -2.30210666667e-10      1926490.67938           -2.26222e-07            1.45527333333e-10       2.09947666667e-12       -1.41803333333e-11      --                      21.8                    17.9                    
8.0                     -2.25899533333e-10      1917016.9359            -2.25734e-07            1.45464666667e-10       2.09493e-12             2.41997e-11             --                      21.9                    18.0                    
9.0                     -2.24567766667e-10      1926404.54403           -2.25430666667e-07      1.45468333333e-10       2.09112666667e-12       7.741663e-11            --                      21.9                    18.0                    
10.0                    -2.23167666667e-10      1918859.24954           -2.24946333333e-07      1.45500666667e-10       2.09881e-12             -8.80073333333e-12      --                      21.9                    18.1                    
11.0                    -2.20639866667e-10      1923011.86068           -2.24350333333e-07      1.45482666667e-10       2.10370333333e-12       1.768937e-11            --                      21.9                    18.1                    
12.0                    -2.22708533333e-10      1920441.39499           -2.24265333333e-07      1.45411e-10             2.08161666667e-12       1.07555716667e-10       --                      21.9                    18.1                    
13.0                    -2.17811766667e-10      1918658.64002           -2.23375666667e-07      1.45444333333e-10       2.10084666667e-12       -1.18094466667e-11      --                      21.9                    18.2                    
14.0                    -2.17473566667e-10      1922795.0619            -2.22965e-07            1.45470333333e-10       2.10262e-12             6.94335333333e-11       --                      21.9                    18.2                    
15.0                    -2.17380166667e-10      1919162.98762           -2.23029333333e-07      1.4547e-10              2.10863333333e-12       -1.58493333333e-11      --                      21.9                    18.2                    
16.0                    -2.35756433333e-10      1926085.40588           -2.22900333333e-07      1.45527e-10             2.10199666667e-12       7.45395e-11             --                      21.9                    18.2                    
17.0                    -2.225256e-10           1917267.69635           -2.22931666667e-07      1.45442333333e-10       2.10189666667e-12       7.68674333333e-11       --                      21.9                    18.2                    
18.0                    -2.136531e-10           1923155.52503           -2.22230666667e-07      1.45369333333e-10       2.09251e-12             -5.36560666667e-12      --                      21.9                    18.2                    
19.0                    -2.130597e-10           1917839.22927           -2.22199666667e-07      1.45413666667e-10       2.10743e-12             9.16200333333e-12       --                      21.9                    18.2                    
20.0                    -2.08676033333e-10      1919164.07735           -2.21882333333e-07      1.45402e-10             2.10916e-12             -3.94573066667e-11      --                      21.9                    18.2                    
21.0                    -2.05913333333e-10      1918072.40168           -2.21661666667e-07      1.45428e-10             2.10108666667e-12       9.09392266667e-11       --                      21.9                    18.2                    
22.0                    -2.03891833333e-10      1914625.90608           -2.21656333333e-07      1.45431333333e-10       2.09642666667e-12       -5.32350333333e-12      --                      21.9                    18.2                    
23.0                    -2.056849e-10           1925202.98236           -2.20562666667e-07      1.45443333333e-10       2.10683e-12             -1.16346666667e-12      --                      21.9                    18.2                    
24.0                    -2.02321933333e-10      1916303.36288           -2.20744333333e-07      1.45378666667e-10       2.09801e-12             -1.76493333333e-13      --                      21.9                    18.3                    
25.0                    -2.06081733333e-10      1921860.78583           -2.20716333333e-07      1.45413333333e-10       2.09984666667e-12       5.65300966667e-11       --                      21.9                    18.3                    
26.0                    -2.06270233333e-10      1915420.77835           -2.20237e-07            1.45418666667e-10       2.10237333333e-12       8.85011e-11             --                      21.9                    18.3                    
27.0                    -2.01263966667e-10      1917601.66866           -2.1985e-07             1.45383666667e-10       2.10667333333e-12       5.06186133333e-11       --                      21.9                    18.3                    
28.0                    -1.96924166667e-10      1915666.57524           -2.20628e-07            1.45386666667e-10       2.10555333333e-12       2.65446666667e-12       --                      21.9                    18.3                    
29.0                    -1.96662566667e-10      1915419.28269           -2.19815666667e-07      1.45385666667e-10       2.09994e-12             8.04949666667e-11       --                      21.9                    18.3                    
30.0                    -1.95524466667e-10      1918029.52191           -2.19588666667e-07      1.45406e-10             2.09998333333e-12       9.57406666667e-11       --                      21.9                    18.3                    
31.0                    -1.93288666667e-10      1914691.0256            -2.20049666667e-07      1.45382333333e-10       2.10071e-12             -6.66432e-12            --                      21.9                    18.3                    
32.0                    -2.08331066667e-10      1922199.2336            -2.19971e-07            1.45427666667e-10       2.10484e-12             -4.76724e-11            --                      21.9                    18.3                    
33.0                    -1.98245966667e-10      1912004.62429           -2.19469333333e-07      1.45390666667e-10       2.10367666667e-12       4.920911e-11            --                      21.9                    18.3                    
34.0                    -2.054429e-10           1918959.31453           -2.19589666667e-07      1.45348e-10             2.09642333333e-12       2.83223566667e-11       --                      21.9                    18.3                    
35.0                    -1.99139966667e-10      1915239.07713           -2.19613666667e-07      1.45362666667e-10       2.10454333333e-12       -2.940945e-11           --                      21.9                    18.4                    
