# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_11_2S
 # Operator: Dominic
 # Date: Wed Feb 27 08:48:27 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


Pad                     Istrip                  Rpoly                   Idark                   Cac                     Cint                    Idiel                   Rint                    Temperature             Humidity                
padNumber[#]            current[A]              res[Ohm]                current[A]              cap[F]                  cap[F]                  current[A]              res[Ohm]                degree[C]               rel. percent[rel%]      
1.0                     --                      --                      --                      --                      --                      --                      --                      21.9                    23.7                    
2.0                     -1.66724566667e-10      1895982.8106            -2.31596666667e-07      1.48568333333e-10       4.71231333333e-12       7.281692e-11            --                      21.9                    23.8                    
3.0                     -1.599834e-10           1889915.74685           -2.30320333333e-07      1.48593666667e-10       4.72321333333e-12       -1.50559333333e-12      --                      21.9                    23.9                    
4.0                     -1.48145666667e-10      1892659.50326           -2.29964666667e-07      1.48617666667e-10       4.72126666667e-12       4.45010233333e-11       --                      21.9                    24.1                    
5.0                     -1.67734833333e-10      1893127.52966           -2.29184333333e-07      1.48666e-10             4.73101333333e-12       9.66599e-12             --                      21.9                    24.2                    
6.0                     -1.56857666667e-10      1890247.05527           -2.27791333333e-07      1.48629666667e-10       4.73405333333e-12       9.72433333333e-14       --                      21.9                    24.4                    
7.0                     -1.55577133333e-10      1897305.59184           -2.27137666667e-07      1.48622e-10             4.73586666667e-12       3.980598e-11            --                      21.9                    24.7                    
8.0                     -1.53579933333e-10      1889282.07484           -2.27501666667e-07      1.48589333333e-10       4.73453e-12             2.21475043333e-11       --                      21.9                    24.8                    
9.0                     -1.51580766667e-10      1899501.24186           -2.26659e-07            1.48614666667e-10       4.72880333333e-12       4.26799933333e-11       --                      22.0                    25.0                    
10.0                    -1.511821e-10           1895075.17841           -2.25997666667e-07      1.48621e-10             4.71768666667e-12       7.61006666667e-12       --                      22.0                    25.1                    
11.0                    -1.53572766667e-10      1898782.51              -2.26145e-07            1.48613666667e-10       4.73209666667e-12       4.01342533333e-11       --                      22.0                    25.1                    
12.0                    -1.48693366667e-10      1898144.88744           -2.25123333333e-07      1.48561333333e-10       4.72551666667e-12       7.33916e-12             --                      22.0                    25.0                    
13.0                    -1.49215933333e-10      1895623.6122            -2.25607e-07            1.48590666667e-10       4.71222333333e-12       6.31382e-11             --                      22.0                    24.6                    
14.0                    -1.33419066667e-10      1901596.38933           -2.25240333333e-07      1.48606333333e-10       4.74401666667e-12       5.99671136667e-11       --                      22.0                    23.7                    
15.0                    -1.422593e-10           1895520.5236            -2.24885e-07            1.48593666667e-10       4.73207666667e-12       6.37547333333e-11       --                      22.0                    22.9                    
16.0                    -1.504442e-10           1902598.5386            -2.23799666667e-07      1.48667666667e-10       4.74408333333e-12       -1.314e-12              --                      22.0                    22.1                    
17.0                    -1.577677e-10           1896713.58075           -2.24748666667e-07      1.4856e-10              4.73609333333e-12       3.71237926667e-11       --                      22.0                    21.0                    
18.0                    -1.43193366667e-10      1903534.55415           -2.24131666667e-07      1.48530666667e-10       4.71849e-12             5.46422e-11             --                      22.0                    20.3                    
19.0                    -1.39854266667e-10      1896458.98193           -2.23981666667e-07      1.48558666667e-10       4.71993333333e-12       2.841768e-11            --                      22.0                    19.7                    
20.0                    -1.38866333333e-10      1898382.25439           -2.23131666667e-07      1.48566e-10             4.72809e-12             -3.54383e-12            --                      22.0                    19.0                    
21.0                    -1.25006233333e-10      1900672.16354           -2.23408e-07            1.48579e-10             4.71845333333e-12       8.16990666667e-11       --                      22.0                    18.6                    
22.0                    -1.410561e-10           1895434.16431           -2.23283333333e-07      1.48586e-10             4.73121666667e-12       7.21303333333e-11       --                      22.0                    18.2                    
23.0                    -1.42221233333e-10      1904044.6103            -2.22942666667e-07      1.48615e-10             4.73738e-12             -1.26600066667e-11      --                      22.0                    18.1                    
24.0                    -1.35546966667e-10      1897264.44678           -2.23034333333e-07      1.48576333333e-10       4.72327666667e-12       1.03664566667e-10       --                      21.9                    18.0                    
