# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_04_2S
 # Operator: Dominic
 # Date: Tue Feb 26 11:16:57 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


Pad                     Istrip                  Rpoly                   Idark                   Cac                     Cint                    Idiel                   Rint                    Temperature             Humidity                
#                       current[A]              res[Ohm]                current[A]              cap[F]                  cap[F]                  current[A]              res[Ohm]                degree[C]               rel. percent[rel%]      
1.0                     --                      --                      --                      --                      --                      --                      --                      21.2                    20.3                    
2.0                     -1.203639e-10           1938115.94709           -1.84013333333e-07      1.48189666667e-10       4.71583e-12             -3.35330366667e-11      --                      21.2                    20.3                    
3.0                     -9.079903e-11           1932907.86233           -1.83905333333e-07      1.48212333333e-10       4.73185e-12             -2.40601026667e-11      --                      21.2                    20.3                    
4.0                     -1.02729356667e-10      1936311.72302           -1.83022e-07            1.48234666667e-10       4.7338e-12              2.82378533333e-11       --                      21.2                    20.2                    
5.0                     -1.16085966667e-10      1936726.82213           -1.8326e-07             1.48238e-10             4.74095666667e-12       1.35758e-12             --                      21.2                    20.2                    
6.0                     -1.03594233333e-10      1933006.10969           -1.83000333333e-07      1.48245666667e-10       4.72700666667e-12       4.48674666667e-11       --                      21.2                    20.2                    
7.0                     -1.17450033333e-10      1940557.30166           -1.82777333333e-07      1.48256e-10             4.71894e-12             -8.845815e-11           --                      21.2                    20.2                    
8.0                     -1.09566333333e-10      1932545.27877           -1.83366e-07            1.48194e-10             4.73942e-12             4.85100566667e-11       --                      21.2                    20.1                    
9.0                     -1.06439866667e-10      1939998.3342            -1.82570333333e-07      1.48203333333e-10       4.73193333333e-12       3.64096966667e-11       --                      21.2                    20.0                    
10.0                    -1.09926566667e-10      1933289.37511           -1.82462333333e-07      1.48257e-10             4.72310666667e-12       2.03551333333e-11       --                      21.2                    20.0                    
11.0                    -1.05495233333e-10      1940210.95801           -1.81645e-07            1.48213666667e-10       4.72913333333e-12       8.50208333333e-12       --                      21.2                    20.0                    
12.0                    -1.04620866667e-10      1935967.94114           -1.81654666667e-07      1.48142666667e-10       4.72026666667e-12       2.48153413333e-11       --                      21.2                    20.1                    
13.0                    -1.0028902e-10          1937219.32835           -1.81567666667e-07      1.48212e-10             4.73426e-12             -1.44790933333e-11      --                      21.2                    20.3                    
14.0                    -1.058058e-10           1940165.19844           -1.81682e-07            1.48232666667e-10       4.72205333333e-12       3.638258e-11            --                      21.2                    20.4                    
15.0                    -9.369505e-11           1933335.10639           -1.82024e-07            1.48149e-10             4.73135666667e-12       -1.87758866667e-11      --                      21.2                    20.6                    
16.0                    -1.08869233333e-10      1940268.58293           -1.82315e-07            1.48203333333e-10       4.73663333333e-12       3.72505333333e-12       --                      21.2                    20.6                    
17.0                    -1.00927696667e-10      1933404.75372           -1.81408666667e-07      1.48157333333e-10       4.72373666667e-12       5.47787066667e-11       --                      21.2                    20.7                    
18.0                    -1.03414233333e-10      1939729.5544            -1.80834e-07            1.48113666667e-10       4.72245333333e-12       5.24643066667e-11       --                      21.2                    20.7                    
19.0                    -9.76667e-11            1933219.63437           -1.81467666667e-07      1.48137666667e-10       4.73534666667e-12       6.99709866667e-11       --                      21.2                    20.8                    
20.0                    -1.00814333333e-10      1935311.24495           -1.8118e-07             1.48171e-10             4.73481333333e-12       4.31125333333e-12       --                      21.2                    20.8                    
21.0                    -9.53862766667e-11      1934149.13191           -1.81183e-07            1.47733333333e-10       4.68862e-12             6.76971666667e-11       --                      21.2                    20.8                    
22.0                    -9.733857e-11           1930130.45579           -1.81045666667e-07      1.48169333333e-10       4.72032666667e-12       2.19001533333e-11       --                      21.2                    20.8                    
23.0                    -9.830946e-11           1939505.94128           -1.80623e-07            1.46132e-10             4.72653333333e-12       3.04291566667e-11       --                      21.2                    20.8                    
24.0                    -8.81195133333e-11      1935352.21525           -1.80460333333e-07      1.48122333333e-10       4.72193333333e-12       1.88917666667e-11       --                      21.2                    20.9                    
25.0                    -9.884622e-11           1943111.95014           -1.80752666667e-07      1.40242e-10             4.71733666667e-12       2.61990866667e-11       --                      21.2                    20.9                    
26.0                    -8.77607133333e-11      1937021.34372           -1.80224333333e-07      1.48151333333e-10       4.73173333333e-12       3.79696566667e-11       --                      21.2                    21.0                    
27.0                    -9.54210333333e-11      1939590.87719           -1.81124666667e-07      1.48114e-10             4.71989666667e-12       7.51854766667e-11       --                      21.2                    21.1                    
28.0                    -9.27697e-11            1936849.04852           -1.80566e-07            1.48108333333e-10       4.72276e-12             4.96325033333e-11       --                      21.2                    21.2                    
29.0                    -8.62976466667e-11      1934861.33612           -1.8042e-07             1.48156666667e-10       4.71745666667e-12       8.77074333333e-11       --                      21.2                    21.3                    
30.0                    -9.40756433333e-11      1939547.19347           -1.80076333333e-07      1.48149666667e-10       4.72901e-12             8.90799566667e-11       --                      21.2                    21.4                    
31.0                    -9.20518166667e-11      1933041.69783           -1.8027e-07             1.48144e-10             4.73042e-12             1.32260866667e-11       --                      21.2                    21.5                    
32.0                    -8.98422233333e-11      1944380.13348           -1.80264666667e-07      1.48177666667e-10       4.72617333333e-12       1.78370533333e-11       --                      21.2                    21.5                    
33.0                    -8.41219766667e-11      1933616.08008           -1.80190666667e-07      1.48156333333e-10       4.72924e-12             -3.65373333333e-12      --                      21.2                    21.5                    
34.0                    -9.025398e-11           1940257.7336            -1.80016333333e-07      1.48087666667e-10       4.70228e-12             5.27396933333e-11       --                      21.2                    21.6                    
35.0                    -8.67288266667e-11      1935843.67122           -1.79919333333e-07      1.48141333333e-10       4.71912666667e-12       7.27747e-11             --                      21.2                    21.6                    
36.0                    -8.39949166667e-11      1935869.90185           -1.80143e-07            1.48129e-10             4.72255e-12             -3.14594e-12            --                      21.2                    21.7                    
37.0                    -8.769472e-11           1936862.77251           -1.79975333333e-07      1.48132666667e-10       4.72843666667e-12       4.024345e-11            --                      21.2                    21.7                    
38.0                    -8.32528833333e-11      1934786.04813           -1.79243e-07            1.48118e-10             4.73199666667e-12       3.87912666667e-11       --                      21.2                    21.7                    
39.0                    -8.59539366667e-11      1942107.03459           -1.79821333333e-07      1.48179e-10             4.72128666667e-12       3.45213533333e-11       --                      21.2                    21.6                    
40.0                    -8.54085166667e-11      1933544.61996           -1.80307666667e-07      1.48105333333e-10       4.72514666667e-12       1.21485966667e-10       --                      21.2                    21.5                    
41.0                    -8.51079533333e-11      1942202.29185           -1.79717e-07            1.48089666667e-10       4.72327666667e-12       4.77708333333e-11       --                      21.2                    21.3                    
42.0                    -8.49558133333e-11      1936791.97707           -1.79648666667e-07      1.48128666667e-10       4.72432e-12             5.476398e-11            --                      21.2                    21.2                    
43.0                    -8.51299266667e-11      1940719.16724           -1.79887e-07            1.48148333333e-10       4.73054666667e-12       3.51637733333e-11       --                      21.2                    21.2                    
44.0                    -8.173647e-11           1938368.04934           -1.79394333333e-07      1.48065333333e-10       4.73081333333e-12       2.56789566667e-11       --                      21.2                    21.3                    
45.0                    -8.29566e-11            1937899.95687           -1.79982666667e-07      1.48069333333e-10       4.71609666667e-12       3.39188933333e-11       --                      21.2                    21.4                    
46.0                    -8.54451766667e-11      1939744.84656           -1.79211666667e-07      1.48107666667e-10       4.72458666667e-12       2.36673133333e-11       --                      21.2                    21.4                    
47.0                    -8.34265666667e-11      1933158.31855           -1.78817333333e-07      1.48054333333e-10       4.71423e-12             2.365505e-11            --                      21.2                    21.4                    
48.0                    -8.067297e-11           1941892.01302           -1.7997e-07             1.48116e-10             4.71259333333e-12       -1.48741766667e-11      --                      21.2                    21.3                    
49.0                    -8.52112266667e-11      1932975.28517           -1.78660666667e-07      1.48072e-10             4.72789333333e-12       4.584218e-11            --                      21.2                    21.1                    
50.0                    -8.02254766667e-11      1940777.15463           -1.79295666667e-07      1.48017666667e-10       4.71766e-12             5.12744433333e-11       2.1304284157e+11        21.2                    21.5                    
51.0                    -8.118076e-11           1935726.82626           -1.78738e-07            1.39802666667e-10       4.63118e-12             5.20001333333e-11       --                      21.2                    21.7                    
52.0                    -8.35174066667e-11      1936558.53879           -1.79009e-07            1.48104666667e-10       4.73563e-12             3.58881433333e-11       --                      21.2                    21.9                    
53.0                    -8.06381433333e-11      1936712.01431           -1.79083333333e-07      1.48068e-10             4.72978333333e-12       7.15066924333e-11       --                      21.2                    21.9                    
54.0                    -8.11706366667e-11      1930506.66597           -1.78892e-07            1.4807e-10              4.73251666667e-12       1.75633466667e-11       --                      21.2                    21.9                    
55.0                    -8.01732033333e-11      1938029.59113           -1.78502333333e-07      1.48145666667e-10       3.04796333333e-12       6.53047566667e-11       --                      21.2                    21.8                    
56.0                    -8.44534666667e-11      1931703.66448           -1.78719666667e-07      1.4802e-10              4.72885666667e-12       5.55714e-11             --                      21.2                    21.8                    
57.0                    -8.07756533333e-11      1938859.52166           -1.78881e-07            1.48035666667e-10       4.72207333333e-12       -1.47404733333e-11      --                      21.2                    21.9                    
58.0                    -8.022147e-11           1929037.60527           -1.78793e-07            1.48102666667e-10       4.71787e-12             5.249182e-11            --                      21.2                    22.0                    
59.0                    -7.97815933333e-11      1936415.78016           -1.78784333333e-07      1.48079666667e-10       4.73171666667e-12       8.48647333333e-12       --                      21.2                    22.1                    
60.0                    -7.78998266667e-11      1935115.9486            -1.77902333333e-07      1.47993333333e-10       4.71576666667e-12       7.26672948667e-11       --                      21.2                    22.2                    
61.0                    -8.07655566667e-11      1933997.5585            -1.79213e-07            1.48045e-10             4.64933333333e-12       6.85887866667e-11       --                      21.2                    22.3                    
62.0                    -7.89988433333e-11      1937748.53209           -1.78559e-07            1.48066666667e-10       4.72909e-12             2.14340166667e-11       --                      21.1                    22.2                    
63.0                    -7.62146333333e-11      1927860.4192            -1.77957e-07            1.48057666667e-10       4.71281333333e-12       1.98061813333e-11       --                      21.1                    22.2                    
64.0                    -7.77835766667e-11      1937554.36748           -1.78367666667e-07      1.48098333333e-10       4.72808e-12             5.25867e-11             --                      21.1                    22.2                    
65.0                    -7.658358e-11           1928117.40604           -1.7845e-07             1.48043666667e-10       4.72288e-12             1.55693583333e-10       --                      21.1                    22.1                    
66.0                    -7.830985e-11           1931995.34743           -1.78439e-07            1.47970666667e-10       4.72062666667e-12       8.59858e-12             --                      21.1                    22.1                    
67.0                    -7.668163e-11           1929567.62354           -1.78147666667e-07      1.48003333333e-10       4.73106333333e-12       3.189286e-11            --                      21.1                    22.1                    
68.0                    -7.525488e-11           1930814.24609           -1.78834666667e-07      1.39722333333e-10       4.71559333333e-12       2.144961e-11            --                      21.1                    22.1                    
69.0                    -7.992587e-11           1933571.97696           -1.77816333333e-07      1.48048666667e-10       3.61310333333e-12       -7.21194e-12            --                      21.1                    22.1                    
70.0                    -7.69327133333e-11      1928811.67354           -1.78637e-07            1.48004333333e-10       4.72639333333e-12       3.320615e-11            --                      21.1                    22.2                    
71.0                    -7.14938533333e-11      1937070.37104           -1.78084e-07            1.48027333333e-10       4.72705333333e-12       1.73164436667e-11       --                      21.1                    22.3                    
72.0                    -7.74940766667e-11      1927083.13402           -1.77601666667e-07      1.48002666667e-10       4.72806666667e-12       -4.80704e-11            --                      21.1                    22.4                    
73.0                    -7.90465666667e-11      1936726.79938           -1.78114e-07            1.48000333333e-10       4.72549333333e-12       2.04112566667e-11       --                      21.1                    22.3                    
74.0                    -7.19359e-11            1926572.30284           -1.77479e-07            1.48016666667e-10       4.72675666667e-12       3.36995066667e-11       --                      21.1                    22.3                    
75.0                    -7.99292533333e-11      1934107.64452           -1.78017333333e-07      1.48017e-10             4.7276e-12              7.18035e-11             --                      21.1                    22.2                    
76.0                    -7.36599066667e-11      1928230.83655           -1.78074666667e-07      1.47957666667e-10       4.71584666667e-12       1.01167333333e-11       --                      21.1                    22.1                    
77.0                    -7.61586833333e-11      1927084.36425           -1.77972666667e-07      1.48010666667e-10       4.49032e-12             4.65802908e-11          --                      21.1                    22.1                    
78.0                    -7.38227166667e-11      1931680.53923           -1.78492e-07            1.48006666667e-10       4.72269333333e-12       1.72798e-12             --                      21.1                    22.2                    
79.0                    -6.77818e-11            1927799.22224           -1.78105e-07            8.78176666667e-11       4.71475666667e-12       4.12264e-12             --                      21.1                    22.3                    
80.0                    -8.002106e-11           1934772.8272            -1.77244e-07            1.48076e-10             4.54532666667e-12       9.69155333333e-12       --                      21.1                    22.5                    
81.0                    -7.601291e-11           1929371.1734            -1.77246333333e-07      1.48004e-10             4.72629666667e-12       5.30683133333e-11       --                      21.1                    22.7                    
82.0                    -7.56834666667e-11      1937654.10657           -1.77838333333e-07      1.47959e-10             4.73003666667e-12       8.83132e-12             --                      21.1                    22.8                    
83.0                    -7.30833266667e-11      1931391.99893           -1.77663333333e-07      1.47937666667e-10       4.65929666667e-12       2.03415966667e-11       --                      21.1                    22.9                    
84.0                    -7.38448333333e-11      1933768.59888           -1.77069e-07            1.47955666667e-10       4.72191e-12             3.46714e-11             --                      21.1                    23.0                    
85.0                    -7.23736366667e-11      1932220.81239           -1.77346666667e-07      1.47994e-10             4.72854e-12             1.41133666667e-11       --                      21.1                    23.0                    
86.0                    -7.20846366667e-11      1928602.80765           -1.77046666667e-07      1.48023666667e-10       4.55187e-12             4.57850333333e-11       --                      21.1                    22.9                    
87.0                    -7.38750266667e-11      1936069.96941           -1.77567666667e-07      1.48005e-10             4.72762333333e-12       2.70337066667e-11       --                      21.1                    22.9                    
88.0                    -6.916989e-11           1929387.64044           -1.77058e-07            1.22471666667e-10       4.72681e-12             4.80564333333e-11       --                      21.1                    22.7                    
89.0                    -7.673093e-11           1939654.24371           -1.77489333333e-07      1.48026666667e-10       3.31447666667e-12       1.1649523e-10           --                      21.1                    22.6                    
90.0                    -7.06018433333e-11      1930613.25201           -1.77433666667e-07      1.47995666667e-10       4.31962e-12             2.43244333333e-11       --                      21.1                    22.5                    
91.0                    -7.48568166667e-11      1934746.88275           -1.77511e-07            1.47996333333e-10       4.18255e-12             1.168929e-11            --                      21.1                    22.4                    
92.0                    -7.126028e-11           1933027.77939           -1.77352e-07            1.47999e-10             3.63164666667e-12       -9.64837666667e-12      --                      21.1                    22.5                    
93.0                    -7.40551366667e-11      1930671.84628           -1.77494333333e-07      1.48058333333e-10       4.6476e-12              3.79700666667e-11       --                      21.1                    22.7                    
94.0                    -6.96338566667e-11      1934417.82151           -1.77513333333e-07      1.48013666667e-10       4.72019333333e-12       2.40238766667e-11       --                      21.1                    22.8                    
95.0                    -4.10651833333e-10      1933826.46379           -1.76881666667e-07      1.43850666667e-10       4.67205333333e-12       7.17505266667e-11       --                      21.1                    22.9                    
96.0                    -7.405115e-11           1935753.31965           -1.77464e-07            1.48035e-10             4.50531e-12             7.068123e-11            --                      21.1                    22.8                    
97.0                    -7.34370833333e-11      1930659.72684           -1.77458333333e-07      1.48033333333e-10       3.06217333333e-12       1.04064403333e-10       --                      21.1                    22.8                    
98.0                    -6.94449166667e-11      1935393.63761           -1.77211e-07            1.47943666667e-10       4.7182e-12              6.34154309e-11          --                      21.1                    22.8                    
99.0                    -7.225396e-11           1929889.2613            -1.77874666667e-07      1.47955333333e-10       4.73043666667e-12       3.13459606667e-11       --                      21.1                    22.8                    
100.0                   -6.63794233333e-11      1929189.78136           -1.77251333333e-07      1.47974333333e-10       4.72665e-12             1.06756e-11             2.37899489413e+11       21.1                    22.7                    
101.0                   -7.41227466667e-11      1932603.25505           -1.76865e-07            1.47997333333e-10       4.71375333333e-12       -4.15382033333e-11      --                      21.1                    22.8                    
102.0                   -7.02157033333e-11      1929050.11188           -1.76794333333e-07      1.47966e-10             4.72651333333e-12       1.29081033333e-11       --                      21.1                    22.9                    
103.0                   -6.95539133333e-11      1934050.0059            -1.76423666667e-07      1.47997e-10             4.73543e-12             4.53738333333e-11       --                      21.1                    23.0                    
104.0                   -7.11184333333e-11      1927893.01647           -1.76884e-07            1.47924e-10             4.72187e-12             7.14736333333e-12       --                      21.1                    23.1                    
105.0                   -7.090451e-11           1934411.35036           -1.76869e-07            1.47955333333e-10       4.71544666667e-12       4.04e-12                --                      21.1                    23.2                    
106.0                   -7.15646233333e-11      1924770.09628           -1.77591333333e-07      1.47949e-10             4.72515666667e-12       5.16295666667e-11       --                      21.1                    23.2                    
107.0                   -7.06246466667e-11      1931745.59918           -1.77675666667e-07      1.47971e-10             4.71184e-12             3.47802923333e-11       --                      21.1                    23.2                    
108.0                   -6.97453833333e-11      1927774.55891           -1.76236e-07            1.47936e-10             3.8686e-12              3.379491e-11            --                      21.1                    23.2                    
109.0                   -6.93836133333e-11      1928454.53083           -1.76786666667e-07      1.47942333333e-10       4.7261e-12              2.844525e-11            --                      21.1                    23.2                    
110.0                   -6.85586666667e-11      1932538.02969           -1.76747e-07            1.48016333333e-10       3.76464666667e-12       5.03573133333e-11       --                      21.1                    23.3                    
111.0                   -6.51917966667e-11      1927490.22751           -1.77605333333e-07      1.47920333333e-10       4.71998e-12             -2.17409e-12            --                      21.1                    23.4                    
112.0                   -7.216786e-11           1934560.40367           -1.76449e-07            1.47992e-10             4.72872333333e-12       -1.50541533333e-11      --                      21.1                    23.5                    
113.0                   -6.99914633333e-11      1927796.03727           -1.77057666667e-07      1.47982333333e-10       3.09559e-12             -3.51651333333e-12      --                      21.1                    23.6                    
114.0                   -7.17054466667e-11      1935250.03825           -1.76681e-07            1.47872e-10             4.73560333333e-12       1.3063001e-10           --                      21.1                    23.7                    
115.0                   -6.65450733333e-11      1926911.89181           -1.76645e-07            1.47955e-10             3.16001666667e-12       1.78918033333e-11       --                      21.1                    23.8                    
116.0                   -6.75349133333e-11      1929969.14568           -1.76137333333e-07      1.479e-10               4.72517666667e-12       1.41387633333e-11       --                      21.1                    23.8                    
117.0                   -7.04666366667e-11      1931611.67486           -1.76053e-07            1.47913333333e-10       4.736e-12               1.16331e-12             --                      21.1                    23.8                    
118.0                   -6.827827e-11           1922453.15457           -1.76381333333e-07      1.47869333333e-10       4.72470333333e-12       3.782016e-11            --                      21.1                    23.8                    
119.0                   -7.06265733333e-11      1932295.93139           -1.76785666667e-07      1.3728e-10              4.62862666667e-12       7.43354666667e-11       --                      21.1                    23.8                    
120.0                   -6.69821766667e-11      1924831.29147           -1.7729e-07             1.47982e-10             3.73915666667e-12       5.40527533333e-11       --                      21.1                    23.7                    
121.0                   -6.75386533333e-11      1932557.62458           -1.76058e-07            1.47926666667e-10       4.71796666667e-12       2.34064033333e-11       --                      21.1                    23.7                    
122.0                   -6.80451866667e-11      1927118.60414           -1.76585e-07            1.47953e-10             4.39660666667e-12       3.34410666667e-11       --                      21.1                    23.6                    
123.0                   -6.84069066667e-11      1931287.14751           -1.76641e-07            1.47968666667e-10       4.72891333333e-12       5.86504666667e-11       --                      21.1                    23.4                    
124.0                   -6.85332066667e-11      1929620.43869           -1.77027333333e-07      1.23856333333e-10       2.93198e-12             5.23009666667e-11       --                      21.1                    23.3                    
125.0                   -6.742528e-11           1927153.19284           -1.76609333333e-07      1.47891666667e-10       4.72952666667e-12       2.60477246667e-11       --                      21.1                    23.4                    
126.0                   -6.759954e-11           1931347.91883           -1.76449666667e-07      1.47340666667e-10       4.34545666667e-12       3.99966666667e-11       --                      21.1                    23.5                    
127.0                   -6.85149066667e-11      1925871.83806           -1.75875333333e-07      1.47908e-10             4.72501666667e-12       2.17226233333e-11       --                      21.1                    23.6                    
128.0                   -6.60099666667e-11      1935177.65083           -1.77064666667e-07      1.44339e-10             4.72694666667e-12       3.27834333333e-11       --                      21.1                    23.8                    
129.0                   -7.06776666667e-11      1923190.38268           -1.75968e-07            1.34995e-10             4.38877e-12             6.67425933333e-11       --                      21.0                    23.9                    
130.0                   -6.87449466667e-11      1934390.92118           -1.76309e-07            1.47864e-10             4.71862666667e-12       7.19549e-11             --                      21.0                    24.1                    
131.0                   -6.94331866667e-11      1928701.93226           -1.75825e-07            1.47862e-10             4.72578e-12             6.42360566667e-11       --                      21.0                    24.1                    
132.0                   -6.68521866667e-11      1930296.92224           -1.76535e-07            1.47906333333e-10       4.69154e-12             8.300315e-11            --                      21.0                    24.1                    
133.0                   -6.86917833333e-11      1931971.26719           -1.76284e-07            1.47908666667e-10       4.7297e-12              7.13271423333e-11       --                      21.0                    24.1                    
134.0                   -6.719073e-11           1930072.7839            -1.75767666667e-07      1.47915333333e-10       4.68473e-12             -2.28462e-12            --                      21.1                    24.1                    
135.0                   -6.87445e-11            1935324.34218           -1.77061333333e-07      1.47951333333e-10       4.06882e-12             5.033092e-11            --                      21.1                    24.1                    
136.0                   -6.64064066667e-11      1927425.88681           -1.76251e-07            1.47903666667e-10       4.53366e-12             4.14460166667e-11       --                      21.1                    24.1                    
137.0                   -6.98849133333e-11      1935897.34709           -1.76165333333e-07      1.47911666667e-10       4.73268666667e-12       3.6284e-12              --                      21.1                    24.1                    
138.0                   -6.60286033333e-11      1927940.25843           -1.76107333333e-07      1.47875e-10             4.72311666667e-12       5.03728566667e-11       --                      21.1                    24.1                    
139.0                   -6.68352233333e-11      1930555.72974           -1.76308e-07            1.47938333333e-10       4.73288666667e-12       7.06267666667e-11       --                      21.0                    24.1                    
140.0                   -6.77621633333e-11      1927494.08032           -1.75527666667e-07      1.47878e-10             4.72122e-12             5.63787366667e-11       --                      21.0                    24.2                    
141.0                   -6.51140266667e-11      1928155.31595           -1.76515333333e-07      1.47916333333e-10       4.71988e-12             5.69392e-11             --                      21.0                    24.3                    
142.0                   -6.608188e-11           1930865.29803           -1.75371e-07            1.47966333333e-10       4.72526666667e-12       1.43745066667e-11       --                      21.0                    24.3                    
143.0                   -6.88368166667e-11      1925759.79095           -1.75362333333e-07      1.47934666667e-10       4.73314666667e-12       4.300742e-11            --                      21.1                    24.3                    
144.0                   -6.65875333333e-11      1935389.55207           -1.76075e-07            1.4797e-10              4.72029e-12             4.06750233333e-12       --                      21.1                    24.2                    
145.0                   -6.43032133333e-11      1923215.75169           -1.75982666667e-07      1.47923e-10             4.71636666667e-12       7.51661e-12             --                      21.1                    24.2                    
146.0                   -7.026301e-11           1931258.26422           -1.75962e-07            1.4789e-10              4.73445666667e-12       5.37386533333e-11       --                      21.0                    24.1                    
147.0                   -6.50683e-11            1923369.87315           -1.75895e-07            1.47934333333e-10       4.71682333333e-12       2.01627733333e-11       --                      21.0                    24.1                    
148.0                   -6.718891e-11           1930234.33932           -1.75258666667e-07      1.48018333333e-10       3.09494333333e-12       -3.19855733333e-11      --                      21.0                    23.9                    
149.0                   -6.60838266667e-11      1929926.86629           -1.75697666667e-07      1.47939333333e-10       4.73724666667e-12       2.89133e-12             --                      21.0                    23.9                    
150.0                   -6.75011366667e-11      1924624.39933           -1.75366666667e-07      1.47963e-10             3.04019333333e-12       -3.16735e-11            2.44398483237e+11       21.0                    24.3                    
151.0                   -6.77221733333e-11      1934091.65754           -1.75785e-07            1.47977333333e-10       4.71914333333e-12       7.46228333333e-11       --                      21.0                    24.3                    
152.0                   -6.75952433333e-11      1924919.64585           -1.75303333333e-07      1.39729666667e-10       4.71293666667e-12       5.16559333333e-11       --                      21.0                    24.4                    
153.0                   -6.23292e-11            1933078.73142           -1.75725333333e-07      1.47995e-10             4.44573333333e-12       4.68181666667e-12       --                      21.0                    24.4                    
154.0                   -6.89455e-11            1929141.64543           -1.76320333333e-07      1.47975e-10             4.71748666667e-12       2.51723433333e-11       --                      21.0                    24.4                    
155.0                   -6.63472266667e-11      1929968.69491           -1.75669666667e-07      1.48015e-10             4.73197666667e-12       -1.55776e-12            --                      21.0                    24.3                    
156.0                   -6.642462e-11           1927418.64839           -1.75641333333e-07      1.47980333333e-10       3.05691e-12             4.540274e-11            --                      21.0                    24.4                    
157.0                   -6.75785933333e-11      1928374.31043           -1.75742333333e-07      1.47942666667e-10       4.69250333333e-12       3.93114066667e-11       --                      21.0                    24.4                    
158.0                   -6.47776866667e-11      1931452.53459           -1.75567333333e-07      1.47985666667e-10       4.73518666667e-12       -1.99837333333e-11      --                      21.0                    24.6                    
159.0                   -6.752315e-11           1928432.61242           -1.76195333333e-07      1.47994333333e-10       4.72427666667e-12       3.00715233333e-11       --                      21.0                    24.7                    
160.0                   -6.82981766667e-11      1935204.57042           -1.76104333333e-07      1.48028e-10             4.72428e-12             2.71171333333e-11       --                      21.0                    24.8                    
161.0                   -6.19191633333e-11      1922144.13793           -1.75547666667e-07      1.47993e-10             4.71713666667e-12       4.44437333333e-11       --                      21.0                    24.7                    
162.0                   -6.79539066667e-11      1929367.8517            -1.75219e-07            1.48036666667e-10       3.27716666667e-12       4.83180633333e-11       --                      21.0                    24.5                    
163.0                   -7.09415133333e-11      1928105.22937           -1.75669e-07            1.47948666667e-10       4.72537666667e-12       -2.41999666667e-11      --                      21.0                    24.5                    
164.0                   -6.35638633333e-11      1930004.39125           -1.76063666667e-07      1.39387e-10             4.67638333333e-12       5.41211833333e-11       --                      21.0                    24.4                    
165.0                   -6.53529233333e-11      1928136.12828           -1.75692333333e-07      1.48049e-10             3.11941666667e-12       7.24619966667e-11       --                      21.0                    24.5                    
166.0                   -6.291931e-11           1925732.90121           -1.75525333333e-07      1.47996666667e-10       4.72755e-12             -1.55881433333e-11      --                      21.0                    24.5                    
167.0                   -6.78452166667e-11      1932260.03304           -1.75143333333e-07      1.36484666667e-10       3.10825e-12             5.65386333333e-12       --                      21.0                    24.6                    
