# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_13_2S_side1
 # Operator: Dominic
 # Date: Fri Mar 15 13:32:28 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


Pad                     Istrip                  Rpoly                   Idark                   Cac                     Cint                    Idiel                   Rint                    Temperature             Humidity                
#                       current[A]              res[Ohm]                current[A]              cap[F]                  cap[F]                  current[A]              res[Ohm]                degree[C]               rel. percent[rel%]      
1.0                     --                      --                      --                      --                      --                      --                      --                      21.3                    21.2                    
2.0                     -2.62463366667e-10      1899027.55305           -2.14747e-07            1.45384e-10             2.07396e-12             7.02695e-11             --                      21.3                    20.5                    
3.0                     -2.482439e-10           1892408.06271           -2.13501666667e-07      1.45449666667e-10       2.08116666667e-12       -5.16402633333e-11      --                      21.3                    19.3                    
4.0                     -2.398204e-10           1896137.26266           -2.13247333333e-07      1.45460666667e-10       2.09057333333e-12       5.50647633333e-11       --                      21.3                    18.7                    
5.0                     -2.17651533333e-10      1895629.01044           -2.12803e-07            1.45405666667e-10       2.08541333333e-12       -9.77396666667e-12      2.17178901946e+11       21.3                    17.9                    
6.0                     -2.34375833333e-10      1894785.97989           -2.10698666667e-07      1.45440666667e-10       2.08982666667e-12       7.58122666667e-11       --                      21.3                    18.0                    
7.0                     -2.36049333333e-10      1902724.29604           -2.11011333333e-07      1.45452333333e-10       2.08915333333e-12       -1.48653666667e-11      --                      21.2                    18.0                    
8.0                     -2.32221033333e-10      1892141.33778           -2.10634666667e-07      1.45417333333e-10       2.08939333333e-12       6.999906e-11            --                      21.3                    18.2                    
9.0                     -2.128846e-10           1900445.96639           -2.09771e-07            1.45406333333e-10       2.08270333333e-12       9.62774566667e-11       --                      21.3                    18.4                    
10.0                    -2.375562e-10           1894859.15259           -2.09808333333e-07      1.45402666667e-10       2.08963e-12             -2.58969333333e-11      --                      21.3                    18.6                    
11.0                    -2.11230933333e-10      1898437.6278            -2.09578e-07            1.45417e-10             2.08333e-12             1.44431066667e-11       --                      21.3                    18.6                    
12.0                    -2.324137e-10           1895961.80239           -2.09186666667e-07      1.45381e-10             2.08641666667e-12       -1.31957333333e-11      --                      21.3                    18.6                    
13.0                    -2.37139733333e-10      1896890.9745            -2.09457e-07            1.45400666667e-10       2.08061e-12             3.27599486667e-11       --                      21.3                    18.6                    
14.0                    -2.215209e-10           1901364.87521           -2.08426333333e-07      1.45443666667e-10       2.08727333333e-12       1.95081133333e-11       --                      21.3                    18.6                    
15.0                    -2.27293466667e-10      1896106.96549           -2.08561333333e-07      1.45413e-10             2.08346666667e-12       2.82412833333e-11       --                      21.3                    18.7                    
16.0                    -2.229416e-10           1903332.19992           -2.08502e-07            1.45441333333e-10       2.07361666667e-12       4.9877605e-11           --                      21.2                    18.8                    
17.0                    -2.21272166667e-10      1894099.04891           -2.08382666667e-07      1.45394666667e-10       2.08840666667e-12       2.94444633333e-11       --                      21.3                    19.0                    
18.0                    -2.238881e-10           1900366.04355           -2.08239666667e-07      1.45360333333e-10       2.08081666667e-12       7.04614333333e-11       --                      21.3                    19.0                    
19.0                    -2.14773233333e-10      1894839.82529           -2.08116666667e-07      1.45382e-10             2.07712e-12             4.5021889e-11           --                      21.3                    19.0                    
20.0                    -2.19250466667e-10      1897172.31378           -2.07674333333e-07      1.45360333333e-10       2.0814e-12              -9.57958e-12            --                      21.3                    19.1                    
21.0                    -6.76612166667e-10      1900445.58439           -2.07861333333e-07      1.45389666667e-10       2.08198333333e-12       7.53059666667e-11       --                      21.3                    19.2                    
22.0                    -2.10757e-10            1893885.07746           -2.07537666667e-07      1.45403e-10             2.08062e-12             8.16051666667e-12       --                      21.3                    19.3                    
