# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_15_2S_side1
 # Operator: Dominic
 # Date: Thu Mar 14 09:44:31 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


Pad                     Istrip                  Rpoly                   Idark                   Cac                     Cint                    Idiel                   Rint                    Temperature             Humidity                
#                       current[A]              res[Ohm]                current[A]              cap[F]                  cap[F]                  current[A]              res[Ohm]                degree[C]               rel. percent[rel%]      
1.0                     --                      --                      --                      --                      --                      --                      --                      21.3                    21.5                    
2.0                     -2.74166633333e-10      1881546.25208           -2.38080333333e-07      1.45228e-10             2.10776666667e-12       1.017365e-10            --                      21.3                    20.8                    
3.0                     -2.290669e-10           1875469.68876           -2.37089e-07            1.45268333333e-10       2.10007e-12             7.00706566667e-11       --                      21.3                    19.8                    
4.0                     -2.595548e-10           1879334.99673           -2.36161333333e-07      1.45317e-10             2.10146666667e-12       2.906263e-11            --                      21.3                    19.1                    
5.0                     -2.28802733333e-10      1880026.73111           -2.35601333333e-07      1.45329e-10             2.12242666667e-12       9.29491e-11             2.40941311205e+11       21.3                    17.8                    
6.0                     -2.14707166667e-10      1877344.9464            -2.34686666667e-07      1.4531e-10              2.13031666667e-12       -2.210216e-11           --                      21.3                    17.9                    
7.0                     -2.317297e-10           1884834.81964           -2.34009666667e-07      1.45312e-10             2.09931e-12             -1.39313866667e-11      --                      21.3                    17.9                    
8.0                     -2.26901333333e-10      1875642.17768           -2.33459333333e-07      1.45265666667e-10       2.10905e-12             8.25638666667e-12       --                      21.3                    17.9                    
9.0                     -2.04816733333e-10      1884410.56996           -2.33752666667e-07      1.45298333333e-10       2.09824e-12             9.63166e-11             --                      21.3                    18.0                    
10.0                    -2.101706e-10           1880054.5405            -2.32618e-07            1.45277666667e-10       2.11221666667e-12       6.47713266667e-11       --                      21.3                    18.3                    
11.0                    -2.089556e-10           1886592.12617           -2.32528666667e-07      1.45290333333e-10       2.11056666667e-12       -1.13471333333e-11      --                      21.3                    18.5                    
12.0                    -2.22335866667e-10      1884396.19726           -2.32596333333e-07      1.45245666667e-10       2.10259e-12             1.02188466667e-10       --                      21.3                    18.6                    
13.0                    -2.22845233333e-10      1885946.07309           -2.31554333333e-07      1.45301666667e-10       2.09606e-12             7.82648333333e-11       --                      21.3                    18.7                    
14.0                    -2.00230766667e-10      1886846.31968           -2.31996666667e-07      1.45336333333e-10       2.10820666667e-12       8.31227e-11             --                      21.3                    18.6                    
15.0                    -2.09182133333e-10      1885754.51267           -2.31987e-07            1.45282333333e-10       2.12024e-12             7.41061633333e-11       --                      21.3                    18.6                    
16.0                    -1.98696533333e-10      1893342.33322           -2.3083e-07             1.45346e-10             2.11902666667e-12       3.12366466667e-11       --                      21.3                    18.7                    
17.0                    -1.98807966667e-10      1885347.99631           -2.31316666667e-07      1.45277666667e-10       2.12912e-12             4.185934e-11            --                      21.3                    18.7                    
18.0                    -1.971255e-10           1892351.17669           -2.30933666667e-07      1.45220333333e-10       2.10633333333e-12       7.78933e-11             --                      21.3                    18.9                    
19.0                    -2.117382e-10           1888771.64151           -2.31331666667e-07      1.45283666667e-10       2.12238e-12             -8.56628666667e-12      --                      21.3                    18.9                    
20.0                    -2.08730833333e-10      1890808.56888           -2.30662666667e-07      1.45299666667e-10       2.09993666667e-12       6.05551666667e-11       --                      21.3                    18.9                    
21.0                    -2.14571e-10            1889546.33351           -2.30183333333e-07      1.45332e-10             2.11328e-12             4.16115136667e-11       --                      21.3                    18.9                    
22.0                    -1.95559533333e-10      1887696.38467           -2.30218e-07            1.45282e-10             2.11583333333e-12       -2.84396333333e-12      --                      21.3                    18.9                    
