# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_17_2S_side1
 # Operator: Dominic
 # Date: Wed Mar 13 13:17:01 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


Pad                     Istrip                  Rpoly                   Idark                   Cac                     Cint                    Idiel                   Rint                    Temperature             Humidity                
#                       current[A]              res[Ohm]                current[A]              cap[F]                  cap[F]                  current[A]              res[Ohm]                degree[C]               rel. percent[rel%]      
1.0                     --                      --                      --                      --                      --                      --                      --                      21.6                    21.4                    
2.0                     -2.598791e-10           1883613.80986           -2.27810666667e-07      1.46005e-10             2.07989333333e-12       -2.42833e-11            --                      21.6                    19.5                    
3.0                     -2.287351e-10           1876882.40196           -2.26718333333e-07      1.46062e-10             2.09180666667e-12       -2.62094366667e-11      --                      21.6                    18.7                    
4.0                     -2.48153066667e-10      1878877.60317           -2.26524333333e-07      1.46085666667e-10       2.11514666667e-12       -6.359e-14              --                      21.6                    18.3                    
5.0                     -2.23717966667e-10      1881563.89905           -2.25014666667e-07      1.46058333333e-10       2.11319e-12             8.03776686667e-12       2.09445835715e+11       21.6                    17.9                    
6.0                     -2.44881166667e-10      1879503.45886           -2.23876e-07            1.46054333333e-10       2.10362666667e-12       -2.378722e-11           --                      21.6                    17.9                    
7.0                     -2.20967433333e-10      1889409.46592           -2.22765e-07            1.46069333333e-10       2.10675333333e-12       7.01100666667e-12       --                      21.6                    17.8                    
8.0                     -2.19717566667e-10      1879688.47489           -2.21738e-07            1.45998e-10             2.10677666667e-12       1.29793666667e-11       --                      21.6                    17.8                    
9.0                     -2.427987e-10           1887674.66898           -2.22010666667e-07      1.46027e-10             2.11260333333e-12       -1.18527666667e-11      --                      21.6                    17.8                    
10.0                    -2.24122633333e-10      1883248.11816           -2.21499e-07            1.46020333333e-10       2.09781666667e-12       -5.30082466667e-11      --                      21.6                    17.9                    
11.0                    -2.32927433333e-10      1887821.23502           -2.21360666667e-07      1.46029e-10             2.11201e-12             -9.43984333333e-12      --                      21.6                    17.9                    
