# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_18_2S_side1
 # Operator: Dominic
 # Date: Tue Mar 12 15:26:37 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


Pad                     Istrip                  Rpoly                   Idark                   Cac                     Cint                    Idiel                   Rint                    Temperature             Humidity                
#                       current[A]              res[Ohm]                current[A]              cap[F]                  cap[F]                  current[A]              res[Ohm]                degree[C]               rel. percent[rel%]      
1.0                     --                      --                      --                      --                      --                      --                      --                      22.3                    21.5                    
2.0                     -2.78525566667e-10      1935336.75628           -2.29879e-07            1.45350666667e-10       2.087e-12               5.66372e-11             --                      22.3                    20.7                    
3.0                     -2.68842833333e-10      1930269.06664           -2.28706333333e-07      1.4539e-10              2.09867e-12             2.70894806667e-11       --                      22.3                    19.7                    
4.0                     -2.30707533333e-10      1933252.0532            -2.27848666667e-07      1.45421e-10             2.10732666667e-12       5.72814666667e-11       --                      22.3                    19.0                    
5.0                     -2.33394666667e-10      1930979.93377           -2.26004666667e-07      1.45445666667e-10       2.09437e-12             6.84097e-11             2.17128409487e+11       22.3                    17.9                    
6.0                     -2.529518e-10           1929980.0105            -2.23865e-07            1.45451666667e-10       2.09139e-12             1.0088863e-10           --                      22.3                    18.0                    
7.0                     -2.291372e-10           1937785.09904           -2.23798666667e-07      1.45472333333e-10       2.07994666667e-12       3.37523e-11             --                      22.3                    18.0                    
8.0                     -2.23499966667e-10      1928403.89147           -2.22849333333e-07      1.45397333333e-10       2.09708666667e-12       3.00595433333e-11       --                      22.3                    18.0                    
9.0                     -2.46992e-10            1937809.96304           -2.22916666667e-07      1.45409333333e-10       2.09966666667e-12       -2.69633333333e-11      --                      22.3                    18.0                    
10.0                    -2.44261233333e-10      1931499.47876           -2.22451333333e-07      1.45469666667e-10       2.0941e-12              7.65670933333e-11       --                      22.3                    18.1                    
11.0                    -2.19704033333e-10      1933564.6672            -2.22422e-07            1.45407666667e-10       2.09588333333e-12       4.080607e-11            --                      22.3                    18.1                    
12.0                    -2.20372833333e-10      1931230.94968           -2.21549e-07            1.45376333333e-10       2.08331333333e-12       1.69720766667e-11       --                      22.3                    18.1                    
13.0                    -2.16993533333e-10      1930087.32266           -2.21433666667e-07      1.45401333333e-10       2.08081333333e-12       2.437909e-11            --                      22.3                    18.1                    
14.0                    -2.20962233333e-10      1933888.70811           -2.20721666667e-07      1.45463e-10             2.10741666667e-12       -1.31937666667e-11      --                      22.3                    18.1                    
15.0                    -2.202087e-10           1930182.12901           -2.21179e-07            1.45431666667e-10       2.10105333333e-12       1.65811e-12             --                      22.3                    18.1                    
16.0                    -2.141255e-10           1936194.61241           -2.20139e-07            1.45453e-10             2.10244333333e-12       5.58984666667e-11       --                      22.3                    18.1                    
17.0                    -2.184715e-10           1927733.15801           -2.21009333333e-07      1.45431333333e-10       2.10076333333e-12       -1.188786e-11           --                      22.3                    18.1                    
18.0                    -2.309692e-10           1934345.48693           -2.20256e-07            1.45404333333e-10       2.10378e-12             7.32678166667e-11       --                      22.3                    18.2                    
19.0                    -2.11143566667e-10      1929356.14958           -2.20721333333e-07      1.45405666667e-10       2.09908e-12             4.65628666667e-11       --                      22.3                    18.2                    
20.0                    -2.18689066667e-10      1930823.94224           -2.19942e-07            1.45435666667e-10       2.08747e-12             4.91522333333e-11       --                      22.3                    18.1                    
21.0                    -2.11575633333e-10      1931863.59212           -2.19600666667e-07      1.45407e-10             2.08595e-12             2.305265e-11            --                      22.3                    18.1                    
22.0                    -2.09246166667e-10      1925567.98903           -2.19167333333e-07      1.45438333333e-10       2.09053e-12             7.68209666667e-12       --                      22.3                    18.1                    
23.0                    -2.14175966667e-10      1935656.36655           -2.19487666667e-07      1.45455e-10             2.09783666667e-12       -4.03859266667e-11      --                      22.3                    18.1                    
24.0                    -2.086391e-10           1928182.79723           -2.19164333333e-07      1.45394666667e-10       2.10706333333e-12       2.77624046667e-11       --                      22.3                    18.2                    
25.0                    -2.231464e-10           1935221.1044            -2.18376333333e-07      1.45446666667e-10       2.09314333333e-12       -1.12735466667e-11      --                      22.3                    18.2                    
26.0                    -2.26986633333e-10      1928674.1083            -2.19463666667e-07      1.45441333333e-10       2.10064333333e-12       1.57570066667e-11       --                      22.3                    18.2                    
27.0                    -2.06397366667e-10      1934967.53686           -2.19412333333e-07      1.45423e-10             2.09719333333e-12       -1.73644033333e-11      --                      22.3                    18.2                    
28.0                    -2.03157966667e-10      1932949.42995           -2.17981e-07            1.45412e-10             2.09392e-12             4.971393e-11            --                      22.3                    18.2                    
29.0                    -2.030061e-10           1931825.26599           -2.17920333333e-07      1.45433e-10             2.09801666667e-12       -3.46286666667e-11      --                      22.3                    18.3                    
30.0                    -2.117658e-10           1936577.84679           -2.18409666667e-07      1.45465333333e-10       2.09526666667e-12       3.36846566667e-11       --                      22.3                    18.3                    
31.0                    -1.990247e-10           1929746.76384           -2.18202666667e-07      1.45391333333e-10       2.09314e-12             -2.47879666667e-11      --                      22.3                    18.3                    
32.0                    -2.004822e-10           1935816.26511           -2.18424333333e-07      1.45509333333e-10       2.09686333333e-12       7.42443333333e-13       --                      22.3                    18.3                    
33.0                    -1.98326833333e-10      1927048.71934           -2.17877666667e-07      1.45455e-10             2.10265333333e-12       6.141719e-11            --                      22.3                    18.3                    
34.0                    -2.02130833333e-10      1935428.92039           -2.17749e-07            1.45373e-10             2.09265666667e-12       4.69086233333e-11       --                      22.3                    18.3                    
