# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_19_2S_side1
 # Operator: Dominic
 # Date: Mon Mar 11 11:33:41 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


Pad                     Istrip                  Rpoly                   Idark                   Cac                     Cint                    Idiel                   Rint                    Temperature             Humidity                
#                       current[A]              res[Ohm]                current[A]              cap[F]                  cap[F]                  current[A]              res[Ohm]                degree[C]               rel. percent[rel%]      
1.0                     --                      --                      --                      --                      --                      --                      --                      21.2                    21.5                    
2.0                     -2.66869133333e-10      1899010.38395           -2.3308e-07             1.45969e-10             2.09651e-12             7.39376666667e-12       --                      21.2                    20.7                    
3.0                     -2.47477533333e-10      1892156.8157            -2.3096e-07             1.46020333333e-10       2.10537333333e-12       -5.99444466667e-13      --                      21.2                    19.8                    
4.0                     -2.33434266667e-10      1897444.39875           -2.30288333333e-07      1.46040333333e-10       2.10490666667e-12       2.139574e-11            --                      21.2                    19.2                    
5.0                     -2.26490966667e-10      1896112.94855           -2.28514e-07            1.46028e-10             2.10596666667e-12       -1.1973357e-11          2.3765724988e+11        21.2                    17.9                    
6.0                     -2.24053933333e-10      1895604.94353           -2.26547666667e-07      1.46005333333e-10       2.09079666667e-12       7.079286e-11            --                      21.2                    18.1                    
7.0                     -2.242768e-10           1901722.92786           -2.25997666667e-07      1.46057666667e-10       2.09713666667e-12       2.40236733333e-11       --                      21.2                    18.4                    
8.0                     -2.22804466667e-10      1891346.45037           -2.25601e-07            1.45992e-10             2.10715e-12             6.54136633333e-11       --                      21.2                    18.6                    
9.0                     -2.197712e-10           1901806.93583           -2.25036e-07            1.46024666667e-10       2.11019666667e-12       6.66163666667e-11       --                      21.2                    18.8                    
10.0                    -2.26864633333e-10      1896199.26351           -2.24715666667e-07      1.45994333333e-10       2.09741e-12             -5.99536666667e-12      --                      21.2                    19.0                    
11.0                    -2.18771033333e-10      1899671.28398           -2.24405666667e-07      1.46007e-10             2.09870666667e-12       3.750459e-11            --                      21.2                    19.1                    
12.0                    -2.22697066667e-10      1898560.41231           -2.23487333333e-07      1.45937333333e-10       2.09799333333e-12       7.25402333333e-12       --                      21.2                    19.2                    
13.0                    -2.13448133333e-10      1896772.39163           -2.24382e-07            1.45996e-10             2.10703333333e-12       5.872135e-11            --                      21.2                    19.2                    
14.0                    -2.14614866667e-10      1898919.43555           -2.23523333333e-07      1.46022333333e-10       2.09792666667e-12       3.27132666667e-11       --                      21.2                    19.1                    
15.0                    -2.13825133333e-10      1891363.09877           -2.23446666667e-07      1.45971333333e-10       2.11454333333e-12       2.01491666667e-11       --                      21.2                    19.1                    
16.0                    -2.14217033333e-10      1900783.35533           -2.23387666667e-07      1.46048666667e-10       2.10871e-12             7.63974e-12             --                      21.2                    19.1                    
17.0                    -2.16156133333e-10      1890496.00394           -2.22016666667e-07      1.46022e-10             2.10027666667e-12       9.72646666667e-13       --                      21.2                    19.1                    
18.0                    -2.13733966667e-10      1899560.12748           -2.22950666667e-07      1.45947e-10             2.11344333333e-12       1.225118e-11            --                      21.2                    19.1                    
19.0                    -2.12877533333e-10      1894278.46572           -2.21958666667e-07      1.45972333333e-10       2.09437333333e-12       5.39980266667e-11       --                      21.2                    19.1                    
20.0                    -2.072124e-10           1894710.12135           -2.21793e-07            1.46006333333e-10       2.09276666667e-12       1.342718e-11            --                      21.2                    19.0                    
21.0                    -2.112649e-10           1895285.47103           -2.21170666667e-07      1.45982666667e-10       2.10480666667e-12       -1.490297e-11           --                      21.2                    18.9                    
22.0                    -2.10482766667e-10      1890330.1621            -2.21288333333e-07      1.45981666667e-10       2.12174333333e-12       6.355165e-11            --                      21.2                    18.9                    
23.0                    -2.086384e-10           1898187.44541           -2.21048333333e-07      1.46007e-10             2.09409333333e-12       4.00089333333e-11       --                      21.2                    19.0                    
24.0                    -2.07298566667e-10      1892424.25469           -2.20965e-07            1.45961666667e-10       2.10971333333e-12       2.41254166667e-12       --                      21.2                    19.0                    
25.0                    -2.027685e-10           1899951.11454           -2.20481666667e-07      1.45958333333e-10       2.11565333333e-12       2.06003766667e-11       --                      21.2                    19.0                    
26.0                    -2.14021266667e-10      1893171.6839            -2.20545666667e-07      1.46029e-10             2.10636666667e-12       1.66457366667e-11       --                      21.2                    19.0                    
27.0                    -2.22222866667e-10      1895737.19501           -2.20820333333e-07      1.46001e-10             2.11207e-12             3.83943966667e-11       --                      21.2                    19.1                    
28.0                    -2.057799e-10           1892316.51713           -2.20658666667e-07      1.45966666667e-10       2.10374e-12             -4.50215e-12            --                      21.2                    19.2                    
29.0                    -1.99646333333e-10      1892058.8487            -2.20085333333e-07      1.45963666667e-10       2.10821666667e-12       8.81320333333e-11       --                      21.2                    19.3                    
30.0                    -2.03522e-10            1896309.26095           -2.20496333333e-07      1.46021333333e-10       2.10723666667e-12       1.58230166667e-11       --                      21.2                    19.3                    
31.0                    -1.99526766667e-10      1889002.44348           -2.19849e-07            1.45956666667e-10       2.10116666667e-12       -1.75864533333e-11      --                      21.2                    19.4                    
32.0                    -1.97374666667e-10      1898051.74833           -2.19662666667e-07      1.46023e-10             2.10606333333e-12       -6.27661166667e-11      --                      21.2                    19.4                    
33.0                    -2.02520066667e-10      1889979.69581           -2.19138e-07            1.45965333333e-10       2.10440333333e-12       4.39383333333e-13       --                      21.2                    19.5                    
34.0                    -1.962625e-10           1896768.00611           -2.19209333333e-07      1.45945333333e-10       2.10176e-12             2.95931466667e-11       --                      21.2                    19.5                    
35.0                    -1.98818566667e-10      1889609.82031           -2.18427333333e-07      1.45982333333e-10       2.106e-12               -2.19679e-11            --                      21.2                    19.6                    
36.0                    -1.997123e-10           1894188.76784           -2.18622666667e-07      1.45971666667e-10       2.10413333333e-12       2.697818e-11            --                      21.2                    19.6                    
