# This pad file is for the HPK 2S sensor for the 6inch runs, contact in the middle

Campaign: Hamamatsu 6inch 2S					
Creator: Dominic Bloech 03.12.2018
				
reference pad: 2			
reference pad: 1017					
reference pad: 1016

# Additional parameters
implant_length: 0
metal_width: 32
implant_width: 22
metal_length: 49504
pitch: 90
thickness: 240
type: p-type

strip	x	y	z
1	0	0	0
2	0	-90	0
3	0	-180	0
4	0	-270	0
5	0	-360	0
6	0	-450	0
7	0	-540	0
8	0	-630	0
9	0	-720	0
10	0	-810	0
11	0	-900	0
12	0	-990	0
13	0	-1080	0
14	0	-1170	0
15	0	-1260	0
16	0	-1350	0
17	0	-1440	0
18	0	-1530	0
19	0	-1620	0
20	0	-1710	0
21	0	-1800	0
22	0	-1890	0
23	0	-1980	0
24	0	-2070	0
25	0	-2160	0
26	0	-2250	0
27	0	-2340	0
28	0	-2430	0
29	0	-2520	0
30	0	-2610	0
31	0	-2700	0
32	0	-2790	0
33	0	-2880	0
34	0	-2970	0
35	0	-3060	0
36	0	-3150	0
37	0	-3240	0
38	0	-3330	0
39	0	-3420	0
40	0	-3510	0
41	0	-3600	0
42	0	-3690	0
43	0	-3780	0
44	0	-3870	0
45	0	-3960	0
46	0	-4050	0
47	0	-4140	0
48	0	-4230	0
49	0	-4320	0
50	0	-4410	0
51	0	-4500	0
52	0	-4590	0
53	0	-4680	0
54	0	-4770	0
55	0	-4860	0
56	0	-4950	0
57	0	-5040	0
58	0	-5130	0
59	0	-5220	0
60	0	-5310	0
61	0	-5400	0
62	0	-5490	0
63	0	-5580	0
64	0	-5670	0
65	0	-5760	0
66	0	-5850	0
67	0	-5940	0
68	0	-6030	0
69	0	-6120	0
70	0	-6210	0
71	0	-6300	0
72	0	-6390	0
73	0	-6480	0
74	0	-6570	0
75	0	-6660	0
76	0	-6750	0
77	0	-6840	0
78	0	-6930	0
79	0	-7020	0
80	0	-7110	0
81	0	-7200	0
82	0	-7290	0
83	0	-7380	0
84	0	-7470	0
85	0	-7560	0
86	0	-7650	0
87	0	-7740	0
88	0	-7830	0
89	0	-7920	0
90	0	-8010	0
91	0	-8100	0
92	0	-8190	0
93	0	-8280	0
94	0	-8370	0
95	0	-8460	0
96	0	-8550	0
97	0	-8640	0
98	0	-8730	0
99	0	-8820	0
100	0	-8910	0
101	0	-9000	0
102	0	-9090	0
103	0	-9180	0
104	0	-9270	0
105	0	-9360	0
106	0	-9450	0
107	0	-9540	0
108	0	-9630	0
109	0	-9720	0
110	0	-9810	0
111	0	-9900	0
112	0	-9990	0
113	0	-10080	0
114	0	-10170	0
115	0	-10260	0
116	0	-10350	0
117	0	-10440	0
118	0	-10530	0
119	0	-10620	0
120	0	-10710	0
121	0	-10800	0
122	0	-10890	0
123	0	-10980	0
124	0	-11070	0
125	0	-11160	0
126	0	-11250	0
127	0	-11340	0
128	0	-11430	0
129	0	-11520	0
130	0	-11610	0
131	0	-11700	0
132	0	-11790	0
133	0	-11880	0
134	0	-11970	0
135	0	-12060	0
136	0	-12150	0
137	0	-12240	0
138	0	-12330	0
139	0	-12420	0
140	0	-12510	0
141	0	-12600	0
142	0	-12690	0
143	0	-12780	0
144	0	-12870	0
145	0	-12960	0
146	0	-13050	0
147	0	-13140	0
148	0	-13230	0
149	0	-13320	0
150	0	-13410	0
151	0	-13500	0
