# This pad file is for the HPK irradiation sensor for the 6inch runs

Campaign: Hamamatsu 6inch Irradiation					
Creator: Dominic Bloech 17.07.2018
				
reference pad: 1			
reference pad: 32					
reference pad: 64

# Additional parameters
implant_length: 20036
metal_width: 35
implant_width: 22
metal_length: 19332.35
pitch: 90
thickness: 240
type: p-type

strip	x	y	z
1	0	0	0
2	0	90	0
3	0	180	0
4	0	270	0
5	0	360	0
6	0	450	0
7	0	540	0
8	0	630	0
9	0	720	0
10	0	810	0
11	0	900	0
12	0	990	0
13	0	1080	0
14	0	1170	0
15	0	1260	0
16	0	1350	0
17	0	1440	0
18	0	1530	0
19	0	1620	0
20	0	1710	0
21	0	1800	0
22	0	1890	0
23	0	1980	0
24	0	2070	0
25	0	2160	0
26	0	2250	0
27	0	2340	0
28	0	2430	0
29	0	2520	0
30	0	2610	0
31	0	2700	0
32	0	2790	0
33	0	2880	0
34	0	2970	0
35	0	3060	0
36	0	3150	0
37	0	3240	0
38	0	3330	0
39	0	3420	0
40	0	3510	0
41	0	3600	0
42	0	3690	0
43	0	3780	0
44	0	3870	0
45	0	3960	0
46	0	4050	0
47	0	4140	0
48	0	4230	0
49	0	4320	0
50	0	4410	0
51	0	4500	0
52	0	4590	0
53	0	4680	0
54	0	4770	0
55	0	4860	0
56	0	4950	0
57	0	5040	0
58	0	5130	0
59	0	5220	0
60	0	5310	0
61	0	5400	0
62	0	5490	0
63	0	5580	0
64	0	5670	0
