# This pad file is for the IFX Irrad25 sensor for the 6inch runs

Campaign: Infineon 6inch Irrad25					
Creator: Dominic Bloech 10.07.2018
				
reference pad: 1			
reference pad: 32					
reference pad: 64

# Additional parameters
implant_length: 19925
metal_width: 35
implant_width: 25
metal_length: 19198.5
pitch: 100
thickness: 240
type: p-type

strip	x	y	z
1	0	0	0
2	0	100	0
3	0	200	0
4	0	300	0
5	0	400	0
6	0	500	0
7	0	600	0
8	0	700	0
9	0	800	0
10	0	900	0
11	0	1000	0
12	0	1100	0
13	0	1200	0
14	0	1300	0
15	0	1400	0
16	0	1500	0
17	0	1600	0
18	0	1700	0
19	0	1800	0
20	0	1900	0
21	0	2000	0
22	0	2100	0
23	0	2200	0
24	0	2300	0
25	0	2400	0
26	0	2500	0
27	0	2600	0
28	0	2700	0
29	0	2800	0
30	0	2900	0
31	0	3000	0
32	0	3100	0
33	0	3200	0
34	0	3300	0
35	0	3400	0
36	0	3500	0
37	0	3600	0
38	0	3700	0
39	0	3800	0
40	0	3900	0
41	0	4000	0
42	0	4100	0
43	0	4200	0
44	0	4300	0
45	0	4400	0
46	0	4500	0
47	0	4600	0
48	0	4700	0
49	0	4800	0
50	0	4900	0
51	0	5000	0
52	0	5100	0
53	0	5200	0
54	0	5300	0
55	0	5400	0
56	0	5500	0
57	0	5600	0
58	0	5700	0
59	0	5800	0
60	0	5900	0
61	0	6000	0
62	0	6100	0
63	0	6200	0
64	0	6300	0
