# This pad file is for the IFX 2PSs_baby sensor for the 6inch runs

Campaign: Infineon 6inch PSs_baby					
Creator: Dominic Bloech 10.07.2018
				
reference pad: 1			
reference pad: 120					
reference pad: 240

# Additional parameters
implant_length: 22243
metal_width: 35
implant_width: 25
metal_length: 21522.5
pitch: 100
thickness: 240
type: p-type

strip	x	y	z
1	0	0	0
2	0	100	0
3	0	200	0
4	0	300	0
5	0	400	0
6	0	500	0
7	0	600	0
8	0	700	0
9	0	800	0
10	0	900	0
11	0	1000	0
12	0	1100	0
13	0	1200	0
14	0	1300	0
15	0	1400	0
16	0	1500	0
17	0	1600	0
18	0	1700	0
19	0	1800	0
20	0	1900	0
21	0	2000	0
22	0	2100	0
23	0	2200	0
24	0	2300	0
25	0	2400	0
26	0	2500	0
27	0	2600	0
28	0	2700	0
29	0	2800	0
30	0	2900	0
31	0	3000	0
32	0	3100	0
33	0	3200	0
34	0	3300	0
35	0	3400	0
36	0	3500	0
37	0	3600	0
38	0	3700	0
39	0	3800	0
40	0	3900	0
41	0	4000	0
42	0	4100	0
43	0	4200	0
44	0	4300	0
45	0	4400	0
46	0	4500	0
47	0	4600	0
48	0	4700	0
49	0	4800	0
50	0	4900	0
51	0	5000	0
52	0	5100	0
53	0	5200	0
54	0	5300	0
55	0	5400	0
56	0	5500	0
57	0	5600	0
58	0	5700	0
59	0	5800	0
60	0	5900	0
61	0	6000	0
62	0	6100	0
63	0	6200	0
64	0	6300	0
65	0	6400	0
66	0	6500	0
67	0	6600	0
68	0	6700	0
69	0	6800	0
70	0	6900	0
71	0	7000	0
72	0	7100	0
73	0	7200	0
74	0	7300	0
75	0	7400	0
76	0	7500	0
77	0	7600	0
78	0	7700	0
79	0	7800	0
80	0	7900	0
81	0	8000	0
82	0	8100	0
83	0	8200	0
84	0	8300	0
85	0	8400	0
86	0	8500	0
87	0	8600	0
88	0	8700	0
89	0	8800	0
90	0	8900	0
91	0	9000	0
92	0	9100	0
93	0	9200	0
94	0	9300	0
95	0	9400	0
96	0	9500	0
97	0	9600	0
98	0	9700	0
99	0	9800	0
100	0	9900	0
101	0	10000	0
102	0	10100	0
103	0	10200	0
104	0	10300	0
105	0	10400	0
106	0	10500	0
107	0	10600	0
108	0	10700	0
109	0	10800	0
110	0	10900	0
111	0	11000	0
112	0	11100	0
113	0	11200	0
114	0	11300	0
115	0	11400	0
116	0	11500	0
117	0	11600	0
118	0	11700	0
119	0	11800	0
120	0	11900	0
121	0	12000	0
122	0	12100	0
123	0	12200	0
124	0	12300	0
125	0	12400	0
126	0	12500	0
127	0	12600	0
128	0	12700	0
129	0	12800	0
130	0	12900	0
131	0	13000	0
132	0	13100	0
133	0	13200	0
134	0	13300	0
135	0	13400	0
136	0	13500	0
137	0	13600	0
138	0	13700	0
139	0	13800	0
140	0	13900	0
141	0	14000	0
142	0	14100	0
143	0	14200	0
144	0	14300	0
145	0	14400	0
146	0	14500	0
147	0	14600	0
148	0	14700	0
149	0	14800	0
150	0	14900	0
151	0	15000	0
152	0	15100	0
153	0	15200	0
154	0	15300	0
155	0	15400	0
156	0	15500	0
157	0	15600	0
158	0	15700	0
159	0	15800	0
160	0	15900	0
161	0	16000	0
162	0	16100	0
163	0	16200	0
164	0	16300	0
165	0	16400	0
166	0	16500	0
167	0	16600	0
168	0	16700	0
169	0	16800	0
170	0	16900	0
171	0	17000	0
172	0	17100	0
173	0	17200	0
174	0	17300	0
175	0	17400	0
176	0	17500	0
177	0	17600	0
178	0	17700	0
179	0	17800	0
180	0	17900	0
181	0	18000	0
182	0	18100	0
183	0	18200	0
184	0	18300	0
185	0	18400	0
186	0	18500	0
187	0	18600	0
188	0	18700	0
189	0	18800	0
190	0	18900	0
191	0	19000	0
192	0	19100	0
193	0	19200	0
194	0	19300	0
195	0	19400	0
196	0	19500	0
197	0	19600	0
198	0	19700	0
199	0	19800	0
200	0	19900	0
201	0	20000	0
202	0	20100	0
203	0	20200	0
204	0	20300	0
205	0	20400	0
206	0	20500	0
207	0	20600	0
208	0	20700	0
209	0	20800	0
210	0	20900	0
211	0	21000	0
212	0	21100	0
213	0	21200	0
214	0	21300	0
215	0	21400	0
216	0	21500	0
217	0	21600	0
218	0	21700	0
219	0	21800	0
220	0	21900	0
221	0	22000	0
222	0	22100	0
223	0	22200	0
224	0	22300	0
225	0	22400	0
226	0	22500	0
227	0	22600	0
228	0	22700	0
229	0	22800	0
230	0	22900	0
231	0	23000	0
232	0	23100	0
233	0	23200	0
234	0	23300	0
235	0	23400	0
236	0	23500	0
237	0	23600	0
238	0	23700	0
239	0	23800	0
240	0	23900	0
